交易日期,股票代码,chan_top_fractal,chan_bottom_fractal,chan_fractal_ratio,chan_stroke_dir,chan_stroke_count,chan_stroke_strength,chan_zhongshu_count,chan_zhongshu_position,chan_zhongshu_width,chan_top_div,chan_bottom_div,chan_div_signal,chan_buy_signals,chan_sell_signals,chan_segment_count
2007-07-31,sh600001,2,2,0.5,0,0,0.0,1,-1.0,0.24772727272727277,0,0,0,0,0,16
2007-08-31,sh600001,7,6,0.46153846153846156,1,1,0.42325581395348827,1,0.0,0.24772727272727277,0,0,0,0,0,16
2007-09-28,sh600001,4,4,0.5,1,4,0.18834673398026566,1,0.0,0.24772727272727277,0,0,0,0,0,16
2007-10-31,sh600001,4,5,0.5555555555555556,-1,3,0.14112339802203844,1,0.0,0.24772727272727277,0,0,0,0,0,16
2007-11-30,sh600001,3,3,0.5,-1,4,0.10829852411617807,1,-1.0,0.24772727272727277,1,0,-1,0,2,16
2007-12-28,sh600001,5,5,0.5,-1,2,0.374023494120168,1,0.0,0.24772727272727277,0,0,0,0,0,16
2008-01-31,sh600001,4,3,0.42857142857142855,1,3,0.23697582018522803,1,0.0,0.24772727272727277,0,0,0,0,0,16
2008-02-29,sh600001,3,3,0.5,1,4,0.2384496038843312,1,0.0,0.24772727272727277,0,2,1,2,0,16
2008-03-31,sh600001,6,6,0.5,1,4,0.09992947002006018,2,1.0,0.1919879062736205,0,0,0,0,0,16
2008-04-30,sh600001,3,3,0.5,1,6,0.15731320040049607,1,0.0,0.1919879062736205,0,1,1,0,0,16
2008-05-30,sh600001,3,4,0.5714285714285714,-1,3,0.16839992400797557,2,1.0,0.17567567567567574,0,1,1,1,0,16
2008-06-30,sh600001,5,4,0.4444444444444444,1,3,0.13408922225472386,2,0.0,0.17567567567567574,0,0,0,1,0,16
2008-07-31,sh600001,7,7,0.5,1,4,0.12135177732524655,1,0.0,0.17567567567567574,0,0,0,0,0,16
2008-08-27,sh600001,5,6,0.5454545454545454,-1,3,0.10559399224349214,1,-1.0,0.17567567567567574,1,0,-1,0,2,16
2008-12-31,sh600001,1,0,0.0,0,0,0.0,1,-1.0,0.17567567567567574,0,0,0,0,0,16
2009-01-23,sh600001,4,5,0.5555555555555556,-1,2,0.21755904455179817,1,-1.0,0.17567567567567574,0,0,0,0,0,16
2009-02-27,sh600001,6,5,0.45454545454545453,-1,2,0.2916536210422397,1,-1.0,0.17567567567567574,0,0,0,0,0,16
2009-03-31,sh600001,3,4,0.5714285714285714,-1,4,0.2102690119685166,1,0.0,0.17567567567567574,1,1,1,1,0,16
2009-04-30,sh600001,5,4,0.4444444444444444,1,3,0.19771271171347812,1,0.0,0.17567567567567574,0,0,0,1,0,16
2009-05-27,sh600001,3,3,0.5,-1,3,0.08003206080003182,3,1.0,0.17567567567567574,0,0,0,3,0,16
2009-06-30,sh600001,3,3,0.5,-1,2,0.10192729499152246,3,1.0,0.17567567567567574,0,0,0,1,0,16
2009-07-31,sh600001,0,0,0.0,0,0,0.0,3,1.0,0.17567567567567574,0,0,0,0,0,16
2009-08-31,sh600001,0,0,0.0,0,0,0.0,3,1.0,0.17567567567567574,0,0,0,0,0,16
2009-09-30,sh600001,0,0,0.0,0,0,0.0,3,0.0,0.17567567567567574,0,0,0,2,0,16
2009-10-30,sh600001,0,0,0.0,0,0,0.0,3,0.0,0.17567567567567574,0,0,0,2,0,16
2009-11-30,sh600001,0,0,0.0,0,0,0.0,3,1.0,0.17567567567567574,0,0,0,0,0,16
2009-12-15,sh600001,0,0,0.0,0,0,0.0,3,1.0,0.17567567567567574,0,0,0,0,0,16
2024-04-30,sh600004,2,1,0.3333333333333333,1,1,0.04027504911591357,1,0.0,0.01656113005358012,0,0,0,0,0,18
2024-05-31,sh600004,5,5,0.5,1,4,0.03809394256234415,1,-1.0,0.01656113005358012,0,1,1,2,0,18
2024-06-28,sh600004,4,5,0.5555555555555556,1,4,0.06549769302970357,1,1.0,0.01737242128121589,0,1,1,2,0,18
