date,open,high,low,close,volume
2025-11-21,30.27,30.52,29.2,29.59,2339912
2025-11-24,29.62,31.69,29.53,31.03,3122465
2025-11-25,31.0,31.79,30.65,31.34,2638400
2025-11-26,31.16,31.42,30.4,30.59,2008841
2025-11-27,30.41,31.01,30.17,30.27,1566746
2025-11-28,30.58,30.58,29.58,29.93,1615430
2025-12-01,29.9,30.64,29.8,30.31,1816859
2025-12-02,30.13,30.4,29.38,29.51,1702245
2025-12-03,29.84,29.84,28.99,29.02,1286066
2025-12-04,29.02,29.57,28.83,29.2,1534353
2025-12-05,29.0,31.2,28.87,30.48,3619350
2025-12-08,30.55,31.99,30.48,31.5,4133079
2025-12-09,31.27,31.27,30.2,30.25,2690767
2025-12-10,30.27,30.75,29.77,29.8,1892123
2025-12-11,30.09,35.88,29.82,33.38,10701820
2025-12-12,32.58,40.5,32.08,37.18,15059871
2025-12-15,37.88,37.88,34.6,34.78,9478619
2025-12-16,34.42,35.68,33.01,34.47,6916962
2025-12-17,33.51,35.68,33.01,34.1,5440327
2025-12-18,33.59,34.5,32.72,32.72,5211257
2025-12-19,36.0,39.88,35.12,35.16,10468274
2025-12-22,34.51,36.51,34.43,34.66,6802053
2025-12-23,33.99,34.48,33.3,33.33,4575482
2025-12-24,33.21,34.5,33.01,33.8,3915680
2025-12-25,33.48,34.75,33.02,34.11,4765761
2025-12-26,33.85,34.49,32.88,33.87,5135368
2025-12-29,33.6,33.6,32.53,32.75,3333334
2025-12-30,32.79,33.29,32.21,32.26,2758721
2025-12-31,32.21,33.2,31.8,32.71,3498355
2026-01-05,32.98,34.25,32.98,33.81,4743560
2026-01-06,33.81,34.79,33.2,34.61,5390628
2026-01-07,34.5,38.34,34.03,35.8,8320537
2026-01-08,36.43,42.4,36.36,38.22,13596327
2026-01-09,37.0,40.0,36.21,38.46,11601329
2026-01-12,37.8,45.02,37.8,42.55,12992464
2026-01-13,42.5,42.55,38.25,38.25,8635190
2026-01-14,38.13,40.49,38.01,39.1,7281406
2026-01-15,38.17,38.65,36.67,38.19,5830606
2026-01-16,38.4,38.9,36.99,37.05,5316552
2026-01-19,37.17,37.56,36.37,36.8,3344803
2026-01-20,36.87,36.99,34.77,35.1,4060883
2026-01-21,35.09,35.35,34.67,34.87,2349094
2026-01-22,35.54,37.55,35.51,36.72,5608117
2026-01-23,36.24,37.22,35.71,36.66,4389356
2026-01-26,36.2,36.38,35.0,35.2,3053649
2026-01-27,35.18,35.22,33.93,35.13,2342799
2026-01-28,35.05,35.31,34.3,34.7,2006740
2026-01-29,34.75,34.99,34.13,34.36,1959570
2026-01-30,34.69,34.69,33.5,33.98,1729826
2026-02-02,33.87,34.87,33.84,33.9,1524347
2026-02-03,34.74,34.74,33.93,34.65,1843775
2026-02-04,34.6,35.79,34.23,35.0,2918012
2026-02-05,34.68,34.88,33.71,33.77,1857089
2026-02-06,33.46,34.4,33.45,33.49,1358377
2026-02-09,34.0,34.65,33.81,34.55,1613451
2026-02-10,34.6,34.6,33.8,33.9,1385368
2026-02-11,33.88,34.27,33.38,33.41,1091191
2026-02-12,33.4,34.22,33.34,33.55,1595047
2026-02-13,33.87,33.98,33.33,33.37,1220838
2026-02-24,33.79,34.31,33.54,34.18,1502194
2026-02-25,34.34,34.66,33.92,34.55,1382123
2026-02-26,34.55,35.62,34.23,35.43,2853280
2026-02-27,35.08,35.66,34.84,35.15,2002049
2026-03-02,34.9,36.35,34.3,36.19,4971871
2026-03-03,35.8,35.8,33.86,34.0,3810123
2026-03-04,33.9,35.15,33.42,34.18,2105146
2026-03-05,34.8,37.6,34.53,37.22,8412459
2026-03-06,36.0,36.87,35.7,35.87,4840059
2026-03-09,35.01,36.5,35.01,36.1,3792796
2026-03-10,36.11,37.16,35.52,37.09,4747624
2026-03-11,37.04,37.04,35.94,36.09,3476570
2026-03-12,36.34,36.99,34.58,35.66,5011711
2026-03-13,34.87,38.04,34.87,37.2,7632585
2026-03-16,37.0,37.19,35.1,35.63,5004984
2026-03-17,35.61,35.63,34.0,34.0,3499866
2026-03-18,34.0,34.34,32.8,33.85,2519118
2026-03-19,33.48,33.59,32.23,32.4,2081153
2026-03-20,32.6,32.95,31.85,31.88,1874734
2026-03-23,31.5,32.29,30.45,30.68,2074830
2026-03-24,31.49,31.49,30.04,30.98,1749846
2026-03-25,31.13,32.71,30.79,32.0,2332280
2026-03-26,31.98,32.3,30.7,31.0,1541160
2026-03-27,30.3,31.23,30.18,30.8,1267037
2026-03-30,30.48,31.08,30.05,30.8,1371002
2026-03-31,30.58,31.5,30.58,30.95,1386102
2026-04-01,31.5,31.7,30.9,31.55,1667107
2026-04-02,31.55,31.93,30.81,30.82,1653243
2026-04-03,30.86,31.09,28.82,28.91,2357838
2026-04-07,29.1,29.52,28.93,29.04,926932
2026-04-08,29.5,30.91,29.41,30.91,1997324
2026-04-09,30.43,30.65,29.94,29.98,1211227
2026-04-10,30.11,30.57,29.98,30.1,916587
2026-04-13,30.0,30.05,29.6,29.79,907009
2026-04-14,29.79,30.19,29.65,29.96,1127880
2026-04-15,30.18,30.79,29.8,30.02,1547875
2026-04-16,30.38,30.48,29.8,30.1,1075841
2026-04-17,30.2,31.64,29.8,31.21,2610244
2026-04-20,31.15,31.98,31.01,31.39,1980514
2026-04-21,31.1,31.41,30.48,30.53,1306493
2026-04-22,30.48,31.1,30.3,30.75,1019739
2026-04-23,30.89,30.99,29.68,29.77,1492126
2026-04-24,29.77,29.8,29.03,29.11,1130411
2026-04-27,29.1,29.13,28.18,28.77,1313620
2026-04-28,29.0,29.0,27.87,27.95,1182844
2026-04-29,28.03,28.82,28.03,28.43,961309
2026-04-30,28.38,28.97,28.28,28.85,980249
2026-05-06,29.12,29.63,28.99,29.16,1141653
2026-05-07,29.38,30.25,29.03,29.51,1750295
2026-05-08,29.31,30.03,29.06,29.82,1905264
2026-05-11,29.81,30.15,29.66,29.93,1754845
2026-05-12,30.03,30.58,29.6,29.78,1662063
2026-05-13,29.78,30.68,29.78,30.25,1609094
2026-05-14,30.1,31.38,29.35,29.38,2591447
2026-05-15,29.0,29.67,28.69,28.78,1750608
2026-05-18,28.72,28.72,28.0,28.29,1237874
2026-05-19,28.16,29.04,28.0,28.68,1171071
2026-05-20,28.5,28.75,27.1,27.2,1996572
2026-05-21,27.5,27.66,26.0,26.2,1630610
2026-05-22,26.49,26.5,26.01,26.33,1015771
2026-05-25,26.37,26.77,25.35,25.69,1493108
2026-05-26,25.85,25.86,24.41,24.78,1411982
2026-05-27,24.75,25.01,23.91,24.66,1534487
2026-05-28,24.34,25.85,24.05,25.35,2060793
2026-05-29,25.59,25.59,24.18,24.36,1777417
2026-06-01,24.3,24.88,23.98,24.71,1135979
2026-06-02,24.58,24.78,23.92,24.71,1185603
2026-06-03,24.67,25.96,24.52,25.0,1598849
2026-06-04,24.62,24.76,23.8,24.0,1564301
2026-06-05,23.78,25.78,23.78,25.14,2984117
2026-06-08,25.46,27.94,25.39,26.16,4212952
2026-06-09,26.26,26.95,25.51,25.88,2541028
2026-06-10,25.64,26.0,24.77,24.99,2144008
2026-06-11,24.99,24.99,23.11,23.28,1766131
2026-06-12,23.35,23.88,23.2,23.82,1320506
2026-06-15,23.71,24.26,23.71,24.2,1246920
2026-06-16,24.27,25.76,24.0,24.1,1965068
2026-06-17,23.92,24.68,23.72,24.0,1406091
2026-06-18,23.85,24.18,23.25,23.28,1443140
2026-06-22,23.12,23.39,21.99,23.37,1993503
2026-06-23,23.28,24.37,22.8,23.01,1659006
2026-06-24,23.1,23.45,22.08,22.2,1221990
2026-06-25,22.32,22.33,21.51,21.66,1124545
2026-06-26,22.31,23.98,21.48,21.48,2477339
