date,open,high,low,close,volume
2025-11-20,20.95,21.05,20.88,20.94,4485641
2025-11-21,20.89,20.99,20.49,20.49,9529316
2025-11-24,20.52,20.63,20.37,20.45,5362800
2025-11-25,20.49,20.57,20.4,20.55,5666787
2025-11-26,20.52,20.6,20.45,20.45,4490959
2025-11-27,20.46,20.48,20.37,20.38,4304293
2025-11-28,20.35,20.39,20.1,20.13,7856434
2025-12-01,20.12,20.26,20.05,20.19,6022593
2025-12-02,20.18,20.19,20.08,20.09,3937400
2025-12-03,20.06,20.12,19.98,20.09,4859717
2025-12-04,20.09,20.1,19.91,19.96,4433739
2025-12-05,19.95,20.15,19.9,20.15,4233480
2025-12-08,20.15,20.22,20.09,20.13,4194216
2025-12-09,20.09,20.21,20.07,20.13,4156215
2025-12-10,20.12,20.18,19.98,20.08,4682040
2025-12-11,20.08,20.37,19.95,20.22,8957760
2025-12-12,20.19,20.3,20.06,20.06,14827547
2025-12-15,20.15,20.57,20.05,20.5,11762138
2025-12-16,20.48,20.55,20.3,20.32,5802332
2025-12-17,20.3,20.37,20.14,20.29,5244951
2025-12-18,20.25,20.37,20.22,20.34,3673900
2025-12-19,20.34,20.4,20.25,20.35,3978502
2025-12-22,20.32,20.37,20.23,20.28,3896400
2025-12-23,20.27,20.33,20.05,20.07,5508140
2025-12-24,20.1,20.22,20.02,20.21,3438668
2025-12-25,20.21,20.29,20.14,20.26,3138428
2025-12-26,20.21,20.28,20.13,20.17,3918330
2025-12-29,20.14,20.15,19.95,20.0,6848300
2025-12-30,19.97,20.06,19.94,20.0,3235996
2025-12-31,20.0,20.03,19.91,19.93,4512800
2026-01-05,20.15,20.33,19.98,20.32,12741207
2026-01-06,20.37,20.71,20.33,20.54,12433918
2026-01-07,20.54,20.58,20.25,20.25,8892282
2026-01-08,20.22,20.33,20.22,20.22,7926862
2026-01-09,20.24,20.43,20.22,20.38,7881674
2026-01-12,20.34,20.59,20.22,20.55,13298273
2026-01-13,20.66,20.74,20.44,20.54,11349392
2026-01-14,20.82,21.26,20.68,21.0,30748527
2026-01-15,21.0,21.61,20.9,21.39,24394140
2026-01-16,21.52,21.73,21.07,21.09,16305000
2026-01-19,21.1,21.3,21.03,21.06,9997847
2026-01-20,21.01,21.05,20.81,20.87,9454168
2026-01-21,20.81,20.93,20.63,20.71,10412437
2026-01-22,20.77,20.81,20.69,20.79,6958700
2026-01-23,20.82,21.13,20.8,21.08,12625518
2026-01-26,21.14,21.15,20.77,21.01,11746000
2026-01-27,20.94,20.99,20.61,20.72,9334285
2026-01-28,20.65,20.72,20.53,20.56,8743398
2026-01-29,20.56,20.68,20.38,20.62,9031871
2026-01-30,20.58,20.79,20.45,20.45,7234249
2026-02-02,20.47,20.58,20.23,20.24,7732300
2026-02-03,20.28,20.43,20.23,20.36,5379557
2026-02-04,20.35,20.64,20.27,20.62,7139744
2026-02-05,20.62,20.7,20.53,20.64,5073273
2026-02-06,20.62,20.72,20.51,20.51,5486520
2026-02-09,20.5,20.6,20.41,20.49,6193500
2026-02-10,20.51,20.55,20.42,20.45,3435600
2026-02-11,20.44,20.51,20.42,20.48,3512188
2026-02-12,20.45,20.48,20.32,20.36,5227260
2026-02-13,20.4,20.4,20.15,20.15,5910528
2026-02-24,20.22,20.3,20.07,20.1,7181712
2026-02-25,20.12,20.42,20.1,20.32,6748464
2026-02-26,20.37,20.38,20.14,20.2,6015010
2026-02-27,20.16,20.33,20.15,20.31,4360691
2026-03-02,20.18,20.24,19.97,20.07,9530020
2026-03-03,20.05,20.3,19.99,20.01,8647300
2026-03-04,19.91,20.07,19.48,19.5,13799121
2026-03-05,19.66,19.69,19.48,19.53,6520160
2026-03-06,19.45,19.86,19.44,19.83,6499414
2026-03-09,19.61,19.68,19.48,19.63,6522040
2026-03-10,19.73,19.79,19.65,19.69,4472149
2026-03-11,19.72,19.73,19.63,19.67,3739880
2026-03-12,19.68,19.73,19.55,19.62,5167392
2026-03-13,19.6,19.72,19.56,19.6,5201761
2026-03-16,19.6,19.64,19.48,19.52,4706500
2026-03-17,19.57,19.82,19.54,19.63,7449740
2026-03-18,19.63,19.68,19.46,19.54,5721151
