date,open,high,low,close,volume
2025-11-21,28.55,28.91,27.5,27.52,5511992
2025-11-24,27.8,27.95,27.47,27.79,2822544
2025-11-25,27.9,28.02,27.58,27.64,3519014
2025-11-26,27.57,27.83,27.2,27.37,4148150
2025-11-27,27.32,27.69,27.01,27.43,2700900
2025-11-28,27.43,27.75,27.27,27.64,2009728
2025-12-01,27.58,27.88,27.46,27.65,3182848
2025-12-02,27.53,27.61,27.01,27.05,3791900
2025-12-03,27.09,27.25,26.73,27.0,2660023
2025-12-04,27.01,27.06,26.63,26.73,2493480
2025-12-05,26.71,26.94,26.42,26.94,2315700
2025-12-08,26.92,27.39,26.92,27.22,2638580
2025-12-09,27.15,27.24,26.6,26.73,2004035
2025-12-10,26.73,26.9,26.37,26.81,1851729
2025-12-11,26.92,26.98,26.18,26.23,2872700
2025-12-12,26.28,26.46,25.88,26.41,3570359
2025-12-15,26.26,26.7,26.15,26.48,2014400
2025-12-16,26.48,26.6,26.28,26.51,1581000
2025-12-17,26.55,26.71,26.04,26.62,2061800
2025-12-18,26.48,26.95,26.44,26.67,2123103
2025-12-19,26.67,26.99,26.58,26.58,3575724
2025-12-22,26.57,26.85,26.5,26.65,2063200
2025-12-23,26.65,26.78,26.25,26.29,2347600
2025-12-24,26.24,26.85,26.23,26.66,2371300
2025-12-25,26.87,26.92,26.53,26.75,3275300
2025-12-26,26.7,26.8,26.47,26.55,2409400
2025-12-29,26.55,26.59,26.31,26.33,2176100
2025-12-30,26.3,26.46,26.02,26.2,3456200
2025-12-31,26.19,26.59,25.92,26.42,3996600
2026-01-05,26.43,27.72,26.42,27.6,7026450
2026-01-06,27.76,27.89,27.31,27.6,5314494
2026-01-07,27.64,29.11,27.4,28.68,14728670
2026-01-08,28.65,29.19,28.42,28.85,6138786
2026-01-09,29.05,29.39,28.66,28.97,4866998
2026-01-12,29.5,29.55,28.88,29.45,5401537
2026-01-13,29.5,29.89,29.22,29.3,5816119
2026-01-14,29.3,30.14,28.76,29.15,7571732
2026-01-15,29.09,29.86,28.81,29.74,5912111
2026-01-16,29.74,29.84,28.68,28.81,5289000
2026-01-19,28.72,29.24,28.47,28.5,3443100
2026-01-20,28.48,28.7,27.86,28.03,3874980
2026-01-21,28.03,28.69,27.94,28.07,4259100
2026-01-22,28.16,28.53,27.98,28.11,3013082
2026-01-23,28.1,29.18,28.0,29.05,5512828
2026-01-26,29.05,29.2,28.03,28.87,6421800
