date,pe_median,pe_mean,pe_median_q10y
2005-01-05,28.79,43.85,
2005-01-06,29.18,44.46,
2005-01-07,28.73,43.84,
2005-01-10,28.84,44.04,
2005-01-11,29.09,44.45,
2005-01-12,29.28,44.57,
2005-01-13,29.32,44.56,
2005-01-14,29.42,44.74,
2005-01-17,28.93,44.18,
2005-01-18,28.08,43.43,
2005-01-19,28.48,43.9,
2005-01-20,28.22,43.72,
2005-01-21,27.67,43.34,
2005-01-24,28.34,43.73,
2005-01-25,28.9,44.44,
2005-01-26,28.5,44.05,
2005-01-27,28.19,43.74,
2005-01-28,27.73,43.21,
2005-01-31,27.36,42.35,
2005-02-01,26.49,40.83,
2005-02-02,26.26,40.37,
2005-02-03,27.69,42.62,
2005-02-04,27.29,41.66,
2005-02-16,27.77,42.22,
2005-02-17,28.11,42.7,
2005-02-18,28.18,43.05,
2005-02-21,28.0,42.58,
2005-02-22,28.38,43.01,
2005-02-23,29.28,44.36,
2005-02-24,29.55,44.65,
2005-02-25,29.66,44.86,
2005-02-28,29.55,45.07,
2005-03-01,29.37,45.35,
2005-03-02,29.21,45.1,
2005-03-03,28.82,44.61,
2005-03-04,29.34,44.9,
2005-03-07,28.98,44.7,
2005-03-08,29.28,45.54,
2005-03-09,29.73,45.97,
2005-03-10,29.81,46.17,
2005-03-11,29.33,45.59,
2005-03-14,29.48,45.78,
2005-03-15,29.51,45.64,
2005-03-16,28.97,45.12,
2005-03-17,28.88,44.95,
2005-03-18,28.6,44.52,
2005-03-21,27.8,44.06,
2005-03-22,27.94,44.09,
2005-03-23,27.48,43.01,
2005-03-24,27.24,42.96,
2005-03-25,27.61,43.38,
2005-03-28,27.69,43.25,
2005-03-29,27.75,43.68,
2005-03-30,27.5,43.53,
2005-03-31,26.5,42.54,
2005-04-01,26.91,43.55,
2005-04-04,28.01,44.08,
2005-04-05,27.57,43.78,
2005-04-06,27.24,43.49,
2005-04-07,28.12,44.09,
2005-04-08,28.43,44.87,
2005-04-11,29.22,45.37,
2005-04-12,28.88,44.83,
2005-04-13,28.33,44.74,
2005-04-14,29.04,46.01,
2005-04-15,28.72,45.06,
2005-04-18,28.12,44.29,
2005-04-19,28.0,43.73,
2005-04-20,27.78,43.99,
2005-04-21,27.34,43.79,
2005-04-22,27.15,43.31,
2005-04-25,26.5,42.45,
2005-04-26,26.32,40.94,
2005-04-27,26.93,41.98,
2005-04-28,26.41,41.29,
2005-04-29,26.59,41.1,
2005-05-09,26.39,40.41,
2005-05-10,25.75,38.27,
2005-05-11,25.77,38.42,
2005-05-12,25.17,38.58,
2005-05-13,25.0,38.52,
2005-05-16,25.2,39.01,
2005-05-17,24.85,38.83,
2005-05-18,25.2,39.28,
2005-05-19,25.31,39.69,
2005-05-20,25.56,39.69,
2005-05-23,25.38,39.34,
