date,sse_float_mcap_yi,sse_amount_yi,sse_turnover_float_pct,sse_margin_buy_yi,sse_margin_balance_yi
2025-11-26,588113.27,7015.63,1.1929,817.43980028,12428.23709564
2025-11-27,589827.62,7002.93,1.1873,802.78293025,12433.17159526
2025-11-28,591792.65,6467.8,1.0929,704.75798353,12433.34608699
2025-12-01,596059.65,7868.41,1.3201,888.01580202,12486.1667621
2025-12-02,593768.66,6283.61,1.0583,667.47908998,12487.2737591
2025-12-03,590868.65,6482.88,1.0972,694.86212637,12469.8955894
2025-12-04,590514.73,6244.58,1.0575,701.39375844,12476.16304027
2025-12-05,594852.55,7181.09,1.2072,838.14900493,12463.00715403
2025-12-08,598091.27,8403.58,1.4051,1031.80191947,12544.66290886
2025-12-09,596061.74,7822.91,1.3124,895.26767479,12585.50150923
2025-12-10,594699.95,7312.72,1.2297,808.56193274,12586.75029684
2025-12-11,590681.07,7650.06,1.2951,827.84563113,12570.22621848
2025-12-12,592961.64,9115.87,1.5374,891.02959662,12523.69646071
2025-12-15,589778.49,7662.23,1.2992,844.74493217,12554.99323207
2025-12-16,583328.06,7343.77,1.2589,910.08480705,12610.4213562
2025-12-17,590450.85,7682.9,1.3012,864.00893642,12597.74699017
2025-12-18,591379.52,7080.37,1.1973,795.35322541,12554.33608103
2025-12-19,593537.19,7402.44,1.2472,840.03100772,12576.16065098
2025-12-22,598397.54,7908.39,1.3216,936.06746392,12634.36859867
2025-12-23,599485.31,8078.07,1.3475,1066.77381165,12712.01780307
2025-12-24,602747.1,7749.9,1.2858,940.47161593,12755.96245962
2025-12-25,605667.46,7859.16,1.2976,980.4035027,12733.52376369
2025-12-26,606435.34,8950.12,1.4759,1085.63310628,12710.86234902
2025-12-29,606794.29,9054.62,1.4922,1052.60808648,12739.65468535
2025-12-30,607075.82,8882.73,1.4632,1066.9980894,12782.85296119
2025-12-31,607587.47,8299.25,1.3659,960.95300677,12687.96062622
2026-01-05,616109.07,10689.57,1.735,1314.91854174,12770.35784652
