fast_window,slow_window,momentum_window,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
15,100,100,0.3,-inf,recent_6m 跑输 ETF -11.31pp 超过容忍带 -5.0pp,4.85,-0.045,0.21850000000000003,-0.11314599156118144,-0.025898041863605822,0.42,-0.138,0.058600000000000006,-0.1614915254237288,-0.10925274725274725,0.28,-0.2412,0.0683,-3.959780991735538,-0.0700582781456954
20,120,120,0.7,-inf,full_pre_cutoff maxDD=-0.2635 超过绝对阈值 0.2,6.76,-0.057699999999999994,0.39039999999999997,-0.03994599156118128,-0.013198041863605826,1.02,-0.1891,0.193,-0.02879152542372876,-0.05815274725274727,0.56,-0.2635,0.1472,-1.7826809917355382,-0.04775827814569539
25,100,120,0.7,-inf,recent_6m 跑输 ETF -5.46pp 超过容忍带 -5.0pp,5.0,-0.071,0.35509999999999997,-0.05464599156118144,0.00010195813639417295,0.93,-0.19039999999999999,0.17629999999999998,-0.04529152542372894,-0.05685274725274728,0.54,-0.2635,0.14300000000000002,-1.9402809917355377,-0.04775827814569539
25,100,120,0.5,-inf,recent_6m 跑输 ETF -8.68pp 超过容忍带 -5.0pp,3.92,-0.0711,0.27899999999999997,-0.08684599156118145,0.0002019581363941758,0.93,-0.1545,0.14300000000000002,-0.07819152542372887,-0.09275274725274726,0.47,-0.2334,0.1108,-2.968580991735538,-0.0778582781456954
25,100,120,0.3,-inf,recent_6m 跑输 ETF -11.73pp 超过容忍带 -5.0pp,2.94,-0.0712,0.209,-0.11734599156118142,0.0003019581363941787,0.95,-0.11869999999999999,0.1128,-0.10799152542372892,-0.1285527472527473,0.35,-0.2298,0.0797,-3.7281809917355377,-0.0814582781456954
25,100,100,0.7,-inf,recent_6m 跑输 ETF -5.34pp 超过容忍带 -5.0pp,5.03,-0.0711,0.3578,-0.05344599156118135,0.0002019581363941758,0.85,-0.19039999999999999,0.16140000000000002,-0.059991525423728875,-0.05685274725274728,0.52,-0.2634,0.138,-2.117580991735538,-0.047858278145695377
25,100,100,0.5,-inf,recent_6m 跑输 ETF -8.27pp 超过容忍带 -5.0pp,4.05,-0.0712,0.28850000000000003,-0.08274599156118145,0.0003019581363941787,0.8,-0.1545,0.1233,-0.09759152542372895,-0.09275274725274726,0.47,-0.2316,0.10880000000000001,-3.022980991735538,-0.0796582781456954
25,100,100,0.3,-inf,recent_6m 跑输 ETF -10.92pp 超过容忍带 -5.0pp,3.19,-0.0712,0.2273,-0.10924599156118142,0.0003019581363941787,0.79,-0.11869999999999999,0.09359999999999999,-0.12699152542372882,-0.1285527472527473,0.39,-0.21280000000000002,0.08199999999999999,-3.678380991735538,-0.09845827814569538
20,150,150,0.7,-inf,full_pre_cutoff maxDD=-0.2635 超过绝对阈值 0.2,7.06,-0.057699999999999994,0.4071,-0.033145991561181365,-0.013198041863605826,1.06,-0.1891,0.20010000000000003,-0.021791525423728864,-0.05815274725274727,0.56,-0.2635,0.1478,-1.7601809917355382,-0.04775827814569539
20,150,150,0.5,-inf,recent_6m 跑输 ETF -5.32pp 超过容忍带 -5.0pp,7.33,-0.0489,0.35840000000000005,-0.05324599156118137,-0.02199804186360582,1.19,-0.1521,0.1807,-0.04089152542372876,-0.09515274725274725,0.51,-0.2316,0.11869999999999999,-2.741580991735538,-0.0796582781456954
20,150,150,0.3,-inf,recent_6m 跑输 ETF -7.42pp 超过容忍带 -5.0pp,7.71,-0.04,0.3085,-0.0742459915611815,-0.03089804186360582,1.4,-0.1152,0.16140000000000002,-0.059991525423728875,-0.13205274725274727,0.4,-0.2297,0.09210000000000002,-3.449880991735538,-0.08155827814569541
20,150,120,0.7,-inf,full_pre_cutoff maxDD=-0.2634 超过绝对阈值 0.2,6.78,-0.057699999999999994,0.39149999999999996,-0.039545991561181326,-0.013198041863605826,1.02,-0.1891,0.1935,-0.028291525423728814,-0.05815274725274727,0.55,-0.2634,0.1454,-1.8506809917355378,-0.047858278145695377
20,150,120,0.5,-inf,recent_6m 跑输 ETF -6.35pp 超过容忍带 -5.0pp,6.83,-0.0489,0.3337,-0.06354599156118135,-0.02199804186360582,1.12,-0.1521,0.1702,-0.051291525423728945,-0.09515274725274725,0.48,-0.2316,0.1116,-2.945580991735538,-0.0796582781456954
20,150,120,0.3,-inf,recent_6m 跑输 ETF -8.69pp 超过容忍带 -5.0pp,6.97,-0.04,0.2788,-0.08694599156118143,-0.03089804186360582,1.29,-0.1152,0.1484,-0.0727915254237288,-0.13205274725274727,0.34,-0.2297,0.0785,-3.754580991735538,-0.08155827814569541
20,150,100,0.7,-inf,full_pre_cutoff maxDD=-0.2635 超过绝对阈值 0.2,7.1,-0.057699999999999994,0.40979999999999994,-0.032045991561181486,-0.013198041863605826,1.03,-0.18899999999999997,0.1955,-0.026291525423728812,-0.05825274725274729,0.59,-0.2635,0.155,-1.4814809917355376,-0.04775827814569539
20,150,100,0.5,-inf,recent_6m 跑输 ETF -5.23pp 超过容忍带 -5.0pp,7.38,-0.0489,0.3604,-0.05234599156118147,-0.02199804186360582,1.14,-0.1521,0.1728,-0.04869152542372879,-0.09515274725274725,0.54,-0.2316,0.12560000000000002,-2.530280991735538,-0.0796582781456954
20,150,100,0.3,-inf,recent_6m 跑输 ETF -7.29pp 超过容忍带 -5.0pp,7.79,-0.04,0.3115,-0.07294599156118142,-0.03089804186360582,1.34,-0.1152,0.1542,-0.06709152542372876,-0.13205274725274727,0.41,-0.2296,0.0944,-3.395180991735538,-0.0816582781456954
20,120,150,0.7,-inf,full_pre_cutoff maxDD=-0.2635 超过绝对阈值 0.2,6.57,-0.057699999999999994,0.37929999999999997,-0.04454599156118144,-0.013198041863605826,1.0,-0.1891,0.1886,-0.03319152542372894,-0.05815274725274727,0.55,-0.2635,0.1461,-1.8229809917355375,-0.04775827814569539
20,120,150,0.5,-inf,recent_6m 跑输 ETF -7.09pp 超过容忍带 -5.0pp,6.48,-0.048799999999999996,0.31620000000000004,-0.07094599156118142,-0.022098041863605825,1.07,-0.1521,0.16269999999999998,-0.058791525423728785,-0.09515274725274725,0.49,-0.2316,0.11449999999999999,-2.862880991735538,-0.0796582781456954
25,100,150,0.3,-inf,recent_6m 跑输 ETF -15.36pp 超过容忍带 -5.0pp,1.8,-0.0712,0.1284,-0.15364599156118142,0.0003019581363941787,0.63,-0.11869999999999999,0.0753,-0.14509152542372883,-0.1285527472527473,0.39,-0.21280000000000002,0.08310000000000001,-3.655480991735538,-0.09845827814569538
25,100,150,0.5,-inf,recent_6m 跑输 ETF -11.44pp 超过容忍带 -5.0pp,3.03,-0.0712,0.2155,-0.11444599156118129,0.0003019581363941787,0.74,-0.1545,0.11470000000000001,-0.1060915254237289,-0.09275274725274726,0.49,-0.2316,0.1124,-2.924280991735538,-0.0796582781456954
25,100,150,0.7,-inf,recent_6m 跑输 ETF -7.33pp 超过容忍带 -5.0pp,4.38,-0.071,0.3106,-0.07334599156118138,0.00010195813639417295,0.82,-0.19039999999999999,0.157,-0.06439152542372883,-0.05685274725274728,0.55,-0.2635,0.14400000000000002,-1.9006809917355376,-0.04775827814569539
