,NDX,SPX,Position,QQQ_weight,ret_ndx,ret_spx,pos_l,qw_l,cash_ret,asset_ret,strat_ret,turnover,strat_nv,bh_ndx_nv,bh_spx_nv
2016-05-23,4355.1,2048.04,1.0,1.0,0.0,0.0,0.0,0.5,0.0001556498627912628,0.0,0.0001556498627912628,0.0,1.0001556498627913,1.0,1.0
2016-05-24,4444.3,2076.06,1.0,1.0,0.0204817340589194,0.013681373410675546,1.0,1.0,0.0001556498627912628,0.0204817340589194,0.019731734058919398,1.5,1.0198904551634096,1.0204817340589194,1.0136813734106755
2016-05-25,4476.43,2090.54,1.0,1.0,0.007229484958261256,0.006974750248066153,1.0,1.0,0.0001556498627912628,0.007229484958261256,0.007229484958261256,0.0,1.0272637378680878,1.0278592914054787,1.0207515478213316
2016-05-26,4487.96,2090.1,1.0,1.0,0.002575713235770438,-0.0002104719354808493,1.0,1.0,0.0001556498627912628,0.002575713235770438,0.002575713235770438,0.0,1.0299096746743417,1.0305067621868613,1.0205367082674166
2016-05-27,4512.54,2099.06,1.0,1.0,0.005476875907984846,0.004286876226017977,1.0,1.0,0.0001556498627912628,0.005476875907984846,0.005476875907984846,0.0,1.0355503621589661,1.036150719845698,1.024911622819867
2016-05-30,4512.54,2099.06,1.0,1.0,0.0,0.0,1.0,1.0,0.0001556498627912628,0.0,0.0,0.0,1.0355503621589661,1.036150719845698,1.024911622819867
2016-05-31,4523.89,2096.96,1.0,1.0,0.002515213161545571,-0.0010004478195001498,1.0,1.0,0.0001556498627912628,0.002515213161545571,0.002515213161545571,0.0,1.0381549920593116,1.0387568597735988,1.0238862522216363
2016-06-01,4520.07,2099.33,1.0,1.0,-0.0008444060310928148,0.001130207538531991,1.0,1.0,0.0001556498627912628,-0.0008444060310928148,-0.0008444060310928148,0.0,1.0372783677228077,1.037879727216367,1.0250434561824964
2016-06-02,4531.35,2105.26,1.0,1.0,0.00249553657354884,0.002824710741046177,1.0,1.0,0.0001556498627912628,0.00249553657354884,0.00249553657354884,0.0,1.039866933826411,1.0404697940345802,1.0279389074432141
2016-06-03,4509.79,2099.13,1.0,1.0,-0.0047579639621747605,-0.0029117543676315805,1.0,1.0,0.0001556498627912628,-0.0047579639621747605,-0.0047579639621747605,0.0,1.0349192844298079,1.0355192762508323,1.0249458018398079
2016-06-06,4523.63,2109.41,1.0,1.0,0.0030688790387136677,0.004897266962979874,1.0,1.0,0.0001556498627912628,0.0030688790387136677,0.0030688790387136677,0.0,1.038095326528555,1.0386971596519023,1.029965235054003
2016-06-07,4513.09,2112.13,1.0,1.0,-0.00232998720054467,0.0012894600859958416,1.0,1.0,0.0001556498627912628,-0.00232998720054467,-0.00232998720054467,0.0,1.0356765777047983,1.0362770085646713,1.0312933341145685
2016-06-08,4520.63,2119.12,1.0,1.0,0.0016706956874337209,0.003309455383901483,1.0,1.0,0.0001556498627912628,0.0016706956874337209,0.0016706956874337209,0.0,1.0374068780967458,1.038008312093867,1.0347063533915357
2016-06-09,4512.69,2115.48,1.0,1.0,-0.0017563923612418098,-0.0017176941371889187,1.0,1.0,0.0001556498627912628,-0.0017563923612418098,-0.0017563923612418098,0.0,1.035584784580557,1.0361851622235998,1.0329290443546029
2016-06-10,4461.05,2096.07,1.0,1.0,-0.011443285490472244,-0.009175222644506098,1.0,1.0,0.0001556498627912628,-0.011443285490472244,-0.011443285490472244,0.0,1.0237342922410124,1.0243277995912838,1.0234516903966724
2016-06-13,4422.76,2079.06,1.0,1.0,-0.008583181089653724,-0.008115186992800894,1.0,1.0,0.0001556498627912628,-0.008583181089653724,-0.008583181089653724,0.0,1.0149473954230193,1.0155358085922253,1.0151461885510051
2016-06-14,4424.91,2075.32,1.0,1.0,0.0004861217882046187,-0.0017988898829277566,1.0,1.0,0.0001556498627912628,0.0004861217882046187,0.0004861217882046187,0.0,1.015440783465816,1.0160294826754839,1.0133200523427282
2016-06-15,4409.51,2071.5,1.0,1.0,-0.00348029677439754,-0.0018406799915194894,1.0,1.0,0.0001556498627912628,-0.00348029677439754,-0.00348029677439754,0.0,1.0119067481825281,1.0124933985442355,1.0114548543973754
2016-06-16,4424.23,2077.99,1.0,1.0,0.0033382393962140267,0.0031329954139511784,1.0,1.0,0.0001556498627912628,0.0033382393962140267,0.0033382393962140267,0.0,1.015284735154606,1.0158733438956624,1.014623737817621
2016-06-17,4374.38,2071.22,1.0,1.0,-0.01126749739502686,-0.003257956005563112,1.0,1.0,0.0001556498627912628,-0.01126749739502686,-0.01126749739502686,0.0,1.003845017046041,1.0044269936396408,1.0113181383176113
2016-06-20,4400.16,2083.25,1.0,1.0,0.005893406608479257,0.005808171029634712,1.0,1.0,0.0001556498627912628,0.005893406608479257,0.005893406608479257,0.0,1.009761083903389,1.0103464903216917,1.0171920470303317
2016-06-21,4413.4,2088.9,1.0,1.0,0.00300898149158213,0.0027121084843393373,1.0,1.0,0.0001556498627912628,0.00300898149158213,0.00300898149158213,0.0,1.0127994363157742,1.0133866042111546,1.0199507822112852
2016-06-22,4404.73,2085.45,1.0,1.0,-0.001964471835772863,-0.001651586959643958,1.0,1.0,0.0001556498627912628,-0.001964471835772863,-0.001964471835772863,0.0,1.0108098203478453,1.0113958347684322,1.0182662447999065
2016-06-23,4467.48,2113.32,1.0,1.0,0.014246049133544991,0.013364022153492305,1.0,1.0,0.0001556498627912628,0.014246049133544991,0.014246049133544991,0.0,1.0252098667131904,1.025804229524006,1.031874377453566
2016-06-24,4285.7,2037.41,1.0,1.0,-0.04068960577327707,-0.03591978498287063,1.0,1.0,0.0001556498627912628,-0.04068960577327707,-0.04068960577327707,0.0,0.9834944814017568,0.984064659824114,0.9948096716861003
2016-06-27,4201.05,2000.54,1.0,1.0,-0.019751732505774888,-0.01809650487628911,1.0,1.0,0.0001556498627912628,-0.019751732505774888,-0.019751732505774888,0.0,0.9640687614842035,0.9646276778948817,0.9768070936114532
2016-06-28,4290.47,2036.09,1.0,1.0,0.021285154901750758,0.01777020204544777,1.0,1.0,0.0001556498627912628,0.021285154901750758,0.021285154901750758,0.0,0.9845891144083337,0.9851599274413904,0.9941651530243554
2016-06-29,4364.74,2070.77,1.0,1.0,0.01731045782862939,0.01703264590465059,1.0,1.0,0.0001556498627912628,0.01731045782862939,0.01731045782862939,0.0,1.0016328027518269,1.0022134968198202,1.011098416046562
2016-06-30,4417.7,2098.86,0.75,0.6,0.012133597877536761,0.013565002390415248,1.0,1.0,0.0001556498627912628,0.012133597877536761,0.012133597877536761,0.0,1.0137862124013677,1.0143739523776718,1.0248139684771786
2016-07-01,4437.44,2102.95,0.75,0.6,0.004468388527967049,0.0019486769007937,0.75,0.6,0.0001556498627912628,0.0034605038770977093,0.0023592903735210977,0.55,1.0161780284530946,1.0189065693095447,1.0268109997851609
2016-07-04,4437.44,2102.95,0.75,0.6,0.0,0.0,0.75,0.6,0.0001556498627912628,0.0,3.89124656978157e-05,0.0,1.0162175704457697,1.0189065693095447,1.0268109997851609
2016-07-05,4410.75,2088.55,0.75,0.6,-0.006014729213239978,-0.006847523716683512,0.75,0.6,0.0001556498627912628,-0.006347847014617392,-0.004721972795265228,0.0,1.0114190187240542,1.0127781222015564,1.0197798871115804
2016-07-06,4444.7,2099.73,0.75,0.6,0.007697103667176686,0.005352996097771179,0.75,0.6,0.0001556498627912628,0.006759460639414483,0.005108507945258679,0.0,1.0165858608171916,1.0205735803999902,1.0252387648678742
2016-07-07,4459.58,2097.9,0.75,0.6,0.003347807501068667,-0.0008715406266519565,0.75,0.6,0.0001556498627912628,0.0016600682499804174,0.0012839636531831288,0.0,1.017891120112821,1.0239902642878458,1.0243452276322733
2016-07-08,4528.36,2129.9,0.75,0.6,0.015422977051650522,0.015253348586681925,0.75,0.6,0.0001556498627912628,0.015355125665663083,0.011555256714945127,0.0,1.0296531133135876,1.0397832426350708,1.0399699224624523
2016-07-11,4554.71,2137.16,0.75,0.6,0.005818883657659812,0.0034086107328981097,0.75,0.6,0.0001556498627912628,0.0048547744877551315,0.0036799933315141645,0.0,1.0334422299043544,1.0458336203531486,1.043514775102049
2016-07-12,4577.61,2152.14,0.75,0.6,0.005027762470058317,0.007009302064421963,0.75,0.6,0.0001556498627912628,0.005820378307803775,0.004404196196550646,0.0,1.037993712242654,1.0510918233794855,1.0508290853694267
2016-07-13,4565.77,2152.43,0.75,0.6,-0.00258650256356463,0.00013474959807435738,0.75,0.6,0.0001556498627912628,-0.001498001698909035,-0.0010845888084839604,0.0,1.0368679158790788,1.0483731716837725,1.050970684166325
2016-07-14,4596.49,2163.75,0.75,0.6,0.006728328409008721,0.005259172191430128,0.75,0.6,0.0001556498627912628,0.0061406659219772845,0.0046444119071807795,0.0,1.0416835575737613,1.055426970678055,1.0564979199625009
