,Z1_Money,Z2_Liquidity,Z3_Inflation,Z4_Economy,Z5a_Trend,Z5b_Mom,Z5c_VIX,Z5d_Credit,ContScore,Crisis,TrendMult,Position_raw,Position,QQQ_weight
2005-01-01,,,,,,,,,,0,1.0,,,
2005-01-02,,,,,,,,,,0,1.0,,,
2005-01-03,,,,,,,,,,0,1.0,,,
2005-01-04,,,,,,,,,,0,1.0,,,
2005-01-05,,,,,,,,,,0,1.0,,,
2005-01-06,,,,,,,,,,0,1.0,,,
2005-01-07,,,,,,,,,,0,1.0,,,
2005-01-08,,,,,,,,,,0,1.0,,,
2005-01-09,,,,,,,,,,0,1.0,,,
2005-01-10,,,,,,,,,,0,1.0,,,
2005-01-11,,,,,,,,,,0,1.0,,,
2005-01-12,,,,,,,,,,0,1.0,,,
2005-01-13,,,,,,,,,,0,1.0,,,
2005-01-14,,,,,,,,,,0,1.0,,,
2005-01-15,,,,,,,,,,0,1.0,,,
2005-01-16,,,,,,,,,,0,1.0,,,
2005-01-17,,,,,,,,,,0,1.0,,,
2005-01-18,,,,,,,,,,0,1.0,,,
2005-01-19,,,,,,,,,,0,1.0,,,
2005-01-20,,,,,,,,,,0,1.0,,,
2005-01-21,,,,,,,,,,0,1.0,,,
2005-01-22,,,,,,,,,,0,1.0,,,
2005-01-23,,,,,,,,,,0,1.0,,,
2005-01-24,,,,,,,,,,0,1.0,,,
2005-01-25,,,,,,,,,,0,1.0,,,
2005-01-26,,,,,,,,,,0,1.0,,,
2005-01-27,,,,,,,,,,0,1.0,,,
2005-01-28,,,,,,,,,,0,1.0,,,
2005-01-29,,,,,,,,,,0,1.0,,,
2005-01-30,,,,,,,,,,0,1.0,,,
2005-01-31,,,,,,,,,,0,1.0,,,
2005-02-01,,,,,,,,,,0,1.0,,,
2005-02-02,,,,,,,,,,0,1.0,,,
2005-02-03,,,,,,,,,,0,1.0,,,
2005-02-04,,,,,,,,,,0,1.0,,,
2005-02-05,,,,,,,,,,0,1.0,,,
2005-02-06,,,,,,,,,,0,1.0,,,
2005-02-07,,,,,,,,,,0,1.0,,,
2005-02-08,,,,,,,,,,0,1.0,,,
2005-02-09,,,,,,,,,,0,1.0,,,
2005-02-10,,,,,,,,,,0,1.0,,,
2005-02-11,,,,,,,,,,0,1.0,,,
2005-02-12,,,,,,,,,,0,1.0,,,
2005-02-13,,,,,,,,,,0,1.0,,,
2005-02-14,,,,,,,,,,0,1.0,,,
2005-02-15,,,,,,,,,,0,1.0,,,
2005-02-16,,,,,,,,,,0,1.0,,,
2005-02-17,,,,,,,,,,0,1.0,,,
2005-02-18,,,,,,,,,,0,1.0,,,
2005-02-19,,,,,,,,,,0,1.0,,,
2005-02-20,,,,,,,,,,0,1.0,,,
2005-02-21,,,,,,,,,,0,1.0,,,
2005-02-22,,,,,,,,,,0,1.0,,,
2005-02-23,,,,,,,,,,0,1.0,,,
2005-02-24,,,,,,,,,,0,1.0,,,
2005-02-25,,,,,,,,,,0,1.0,,,
2005-02-26,,,,,,,,,,0,1.0,,,
2005-02-27,,,,,,,,,,0,1.0,,,
2005-02-28,,,,,,,,,,0,1.0,,,
2005-03-01,,,,,,,,,,0,1.0,,,
2005-03-02,,,,,,,,,,0,1.0,,,
2005-03-03,,,,,,,,,,0,1.0,,,
2005-03-04,,,,,,,,,,0,1.0,,,
2005-03-05,,,,,,,,,,0,1.0,,,
2005-03-06,,,,,,,,,,0,1.0,,,
2005-03-07,,,,,,,,,,0,1.0,,,
2005-03-08,,,,,,,,,,0,1.0,,,
2005-03-09,,,,,,,,,,0,1.0,,,
2005-03-10,,,,,,,,,,0,1.0,,,
2005-03-11,,,,,,,,,,0,1.0,,,
2005-03-12,,,,,,,,,,0,1.0,,,
2005-03-13,,,,,,,,,,0,1.0,,,
2005-03-14,,,,,,,,,,0,1.0,,,
2005-03-15,,,,,,,,,,0,1.0,,,
2005-03-16,,,,,,,,,,0,1.0,,,
2005-03-17,,,,,,,,,,0,1.0,,,
2005-03-18,,,,,,,,,,0,1.0,,,
2005-03-19,,,,,,,,,,0,1.0,,,
2005-03-20,,,,,,,,,,0,1.0,,,
2005-03-21,,,,,,,,,,0,1.0,,,
2005-03-22,,,,,,,,,,0,1.0,,,
2005-03-23,,,,,,,,,,0,1.0,,,
2005-03-24,,,,,,,,,,0,1.0,,,
2005-03-25,,,,,,,,,,0,1.0,,,
2005-03-26,,,,,,,,,,0,1.0,,,
2005-03-27,,,,,,,,,,0,1.0,,,
2005-03-28,,,,,,,,,,0,1.0,,,
2005-03-29,,,,,,,,,,0,1.0,,,
2005-03-30,,,,,,,,,,0,1.0,,,
2005-03-31,,,,,,,,,,0,1.0,,,
2005-04-01,,,,,,,,,,0,1.0,,,
2005-04-02,,,,,,,,,,0,1.0,,,
2005-04-03,,,,,,,,,,0,1.0,,,
2005-04-04,,,,,,,,,,0,1.0,,,
2005-04-05,,,,,,,,,,0,1.0,,,
2005-04-06,,,,,,,,,,0,1.0,,,
2005-04-07,,,,,,,,,,0,1.0,,,
2005-04-08,,,,,,,,,,0,1.0,,,
2005-04-09,,,,,,,,,,0,1.0,,,
2005-04-10,,,,,,,,,,0,1.0,,,
2005-04-11,,,,,,,,,,0,1.0,,,
2005-04-12,,,,,,,,,,0,1.0,,,
2005-04-13,,,,,,,,,,0,1.0,,,
2005-04-14,,,,,,,,,,0,1.0,,,
2005-04-15,,,,,,,,,,0,1.0,,,
2005-04-16,,,,,,,,,,0,1.0,,,
2005-04-17,,,,,,,,,,0,1.0,,,
2005-04-18,,,,,,,,,,0,1.0,,,
2005-04-19,,,,,,,,,,0,1.0,,,
