etf,regime,start,end,months,start_rate,end_rate,total_return,cagr,max_drawdown,calmar
nasdaq,hiking,2015-12-01,2016-02-01,3,0.12,0.38,-0.08250497017892644,-0.39786525089883096,-0.10914454277286123,-3.6453059474244283
nasdaq,hiking,2016-06-01,2016-08-01,3,0.37,0.4,0.06441717791411028,0.4532418820214579,-0.04149797570850211,10.922023888712182
nasdaq,holding,2016-09-01,2016-10-01,2,0.4,0.4,0.016129032258064502,0.22326258656325804,-0.026291079812206575,8.491951953209636
nasdaq,hiking,2016-11-01,2017-08-01,10,0.4,1.16,0.19357798165137607,0.26712544622184264,-0.08597986057319906,3.1068373970486385
nasdaq,hiking,2017-11-01,2018-07-01,9,1.15,1.91,0.14233576642335755,0.22448903622367689,-0.1366711772665764,1.6425484927653196
nasdaq,hiking,2018-09-01,2019-01-01,5,1.91,2.4,-0.189516129032258,-0.48398444993717815,-0.24039013195639702,-2.0133291079725573
nasdaq,hiking,2019-03-01,2019-04-01,2,2.4,2.42,0.04706640876853663,0.7192597591334813,-0.03403982016698781,21.12995179190245
nasdaq,cutting,2019-05-01,2019-06-01,2,2.42,2.38,-0.06123662306777644,-0.6027671244210766,-0.07281268349970649,-8.278325910395905
nasdaq,cutting,2019-08-01,2019-11-01,4,2.4,1.55,0.045454545454545414,0.1930085729332811,-0.03837597330367071,5.0294117990440546
nasdaq,holding,2019-12-01,2020-01-01,2,1.55,1.55,-0.021510755377688873,-0.23957715131133728,-0.06403201600800401,-3.7415212927450248
nasdaq,cutting,2020-03-01,2020-04-01,2,1.58,0.05,-0.14181286549707606,-0.8446322615134094,-0.18908382066276808,-4.466972682024525
nasdaq,hiking,2020-06-01,2020-08-01,3,0.05,0.1,0.11221122112211224,0.9105790907524689,-0.09902252443688908,9.195676397169782
nasdaq,holding,2020-10-01,2021-01-01,4,0.09,0.09,-0.03166915052160957,-0.13204709751527366,-0.12133431085044,-1.0882914864702906
nasdaq,cutting,2021-02-01,2021-03-01,2,0.09,0.07,-0.001917913310318542,-0.02473155388883963,-0.0727537286285923,-0.33993520820210027
nasdaq,hiking,2021-06-01,2021-07-01,2,0.06,0.1,0.07817710263060396,1.5003569996049828,-0.012526843235504681,119.77135591132321
nasdaq,cutting,2021-08-01,2021-09-01,2,0.1,0.08,0.04140443855581322,0.6387642886246192,-0.02197441784191534,29.068542030096534
