momentum_short_window,momentum_long_window,trend_window,momentum_threshold,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret
10,60,60,0.0,10.7,,10.7,-0.0861,0.9217,10.7,-0.0861,0.9217,10.7,-0.0861,0.9217
15,60,40,0.02,9.41,,9.41,-0.0994999999999999,0.9356,9.41,-0.0994999999999999,0.9356,9.41,-0.0994999999999999,0.9356
15,60,60,0.02,9.13,,9.13,-0.1014,0.9265,9.13,-0.1014,0.9265,9.13,-0.1014,0.9265
15,40,40,0.02,8.66,,8.66,-0.1005,0.8698,8.66,-0.1005,0.8698,8.66,-0.1005,0.8698
10,40,40,0.02,-inf,full_pre_cutoff final_nav=1.1491 < floor=1.3361 (=1.00*default 1.3361),2.66,-0.1316,0.35,2.66,-0.1316,0.35,2.66,-0.1316,0.35
10,60,40,0.01,-inf,full_pre_cutoff final_nav=1.2528 < floor=1.3361 (=1.00*default 1.3361),5.59,-0.1121,0.627,5.59,-0.1121,0.627,5.59,-0.1121,0.627
10,60,40,0.02,-inf,full_pre_cutoff final_nav=1.1940 < floor=1.3361 (=1.00*default 1.3361),3.55,-0.1316,0.4665999999999999,3.55,-0.1316,0.4665999999999999,3.55,-0.1316,0.4665999999999999
10,60,60,0.01,-inf,full_pre_cutoff final_nav=1.2672 < floor=1.3361 (=1.00*default 1.3361),5.95,-0.1122,0.6676000000000001,5.95,-0.1122,0.6676000000000001,5.95,-0.1122,0.6676000000000001
10,60,60,0.02,-inf,full_pre_cutoff final_nav=1.2078 < floor=1.3361 (=1.00*default 1.3361),3.83,-0.1316,0.5035000000000001,3.83,-0.1316,0.5035000000000001,3.83,-0.1316,0.5035000000000001
15,40,40,0.0,-inf,full_pre_cutoff final_nav=1.2986 < floor=1.3361 (=1.00*default 1.3361),6.26,-0.1211,0.7582,6.26,-0.1211,0.7582,6.26,-0.1211,0.7582
10,40,60,0.02,-inf,full_pre_cutoff final_nav=1.1550 < floor=1.3361 (=1.00*default 1.3361),2.78,-0.1315,0.3651,2.78,-0.1315,0.3651,2.78,-0.1315,0.3651
10,40,40,0.0,-inf,full_pre_cutoff final_nav=1.2843 < floor=1.3361 (=1.00*default 1.3361),8.33,-0.086,0.7167,8.33,-0.086,0.7167,8.33,-0.086,0.7167
10,40,40,0.01,-inf,full_pre_cutoff final_nav=1.2189 < floor=1.3361 (=1.00*default 1.3361),4.76,-0.1121,0.5336,4.76,-0.1121,0.5336,4.76,-0.1121,0.5336
10,40,60,0.01,-inf,full_pre_cutoff final_nav=1.2229 < floor=1.3361 (=1.00*default 1.3361),4.85,-0.1122,0.5445,4.85,-0.1122,0.5445,4.85,-0.1122,0.5445
10,40,60,0.0,-inf,full_pre_cutoff final_nav=1.3057 < floor=1.3361 (=1.00*default 1.3361),9.04,-0.0861,0.7791,9.04,-0.0861,0.7791,9.04,-0.0861,0.7791
15,40,60,0.0,-inf,full_pre_cutoff final_nav=1.2862 < floor=1.3361 (=1.00*default 1.3361),5.29,-0.1366,0.7222,5.29,-0.1366,0.7222,5.29,-0.1366,0.7222
15,40,40,0.01,-inf,full_pre_cutoff final_nav=1.3109 < floor=1.3361 (=1.00*default 1.3361),6.84,-0.1162,0.7945,6.84,-0.1162,0.7945,6.84,-0.1162,0.7945
15,40,60,0.02,-inf,full_pre_cutoff final_nav=1.3356 < floor=1.3361 (=1.00*default 1.3361),8.06,-0.1076999999999999,0.8683,8.06,-0.1076999999999999,0.8683,8.06,-0.1076999999999999,0.8683
15,40,60,0.01,-inf,full_pre_cutoff final_nav=1.3020 < floor=1.3361 (=1.00*default 1.3361),5.94,-0.1294,0.7683,5.94,-0.1294,0.7683,5.94,-0.1294,0.7683
15,60,40,0.0,-inf,full_pre_cutoff final_nav=1.3027 < floor=1.3361 (=1.00*default 1.3361),5.66,-0.136,0.7701,5.66,-0.136,0.7701,5.66,-0.136,0.7701
15,60,40,0.01,-inf,full_pre_cutoff final_nav=1.3316 < floor=1.3361 (=1.00*default 1.3361),7.33,-0.1168,0.8562000000000001,7.33,-0.1168,0.8562000000000001,7.33,-0.1168,0.8562000000000001
15,60,60,0.0,-inf,full_pre_cutoff final_nav=1.3016 < floor=1.3361 (=1.00*default 1.3361),5.61,-0.1367,0.767,5.61,-0.1367,0.767,5.61,-0.1367,0.767
15,60,60,0.01,-inf,full_pre_cutoff final_nav=1.3305 < floor=1.3361 (=1.00*default 1.3361),7.26,-0.1175,0.8528,7.26,-0.1175,0.8528,7.26,-0.1175,0.8528
10,60,40,0.0,-inf,full_pre_cutoff final_nav=1.3202 < floor=1.3361 (=1.00*default 1.3361),9.54,-0.0862,0.8220999999999999,9.54,-0.0862,0.8220999999999999,9.54,-0.0862,0.8220999999999999
