breakout_window,exit_window,trend_window,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret
10,5,50,4.917,,9.69,-0.0206,0.1998,2.98,-0.0282,0.0838,0.49,-0.131,0.0647
15,5,50,4.842,,9.69,-0.0206,0.1998,2.98,-0.0282,0.0838,0.24,-0.131,0.0315
10,7,50,4.760999999999999,,9.69,-0.0206,0.1998,2.52,-0.0317,0.0799,0.43,-0.134,0.0579
15,7,50,4.689,,9.69,-0.0206,0.1998,2.52,-0.0317,0.0799,0.19,-0.1341999999999999,0.025
10,5,30,3.5860000000000003,,6.43,-0.0279999999999999,0.1797,2.83,-0.0279999999999999,0.0791999999999999,0.55,-0.1274,0.0704
10,7,30,3.526,,6.43,-0.0279999999999999,0.1797,2.69,-0.0279,0.0751999999999999,0.49,-0.1307,0.0637
15,5,30,3.511,,6.43,-0.0279999999999999,0.1797,2.83,-0.0279999999999999,0.0791999999999999,0.3,-0.1277,0.0387
15,7,30,3.454,,6.43,-0.0279999999999999,0.1797,2.69,-0.0279,0.0751999999999999,0.25,-0.1307,0.0321
15,7,80,-inf,full_pre_cutoff final_nav=0.9939 < floor=1.0504 (=1.00*default 1.0504),10.25,-0.0206,0.2113,3.21,-0.0266999999999999,0.0855,-0.02,-0.1286,-0.0031
15,5,80,-inf,full_pre_cutoff final_nav=1.0067 < floor=1.0504 (=1.00*default 1.0504),10.25,-0.0206,0.2113,3.87,-0.0231,0.0895,0.03,-0.1253999999999999,0.0033
10,7,80,-inf,full_pre_cutoff final_nav=0.9939 < floor=1.0504 (=1.00*default 1.0504),10.25,-0.0206,0.2113,3.21,-0.0266999999999999,0.0855,-0.02,-0.1286,-0.0031
10,5,80,-inf,full_pre_cutoff final_nav=1.0067 < floor=1.0504 (=1.00*default 1.0504),10.25,-0.0206,0.2113,3.87,-0.0231,0.0895,0.03,-0.1253999999999999,0.0033
