momentum_short_window,momentum_long_window,trend_window,momentum_threshold,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
10,30,30,0.0,0.3,-inf,recent_6m 跑输 ETF -20.67pp 超过容忍带 -5.0pp,10.0,-0.0796,0.7963,-0.20668181818181797,-0.03873952912019829,10.0,-0.0796,0.7963,-0.20668181818181797,-0.03873952912019829,10.0,-0.0796,0.7963,-0.20668181818181797,-0.03873952912019829
20,30,60,0.0,0.7,-inf,recent_6m 跑输 ETF -7.80pp 超过容忍带 -5.0pp,11.19,-0.10710000000000001,1.1985999999999999,-0.07798181818181815,-0.01123952912019828,11.19,-0.10710000000000001,1.1985999999999999,-0.07798181818181815,-0.01123952912019828,11.19,-0.10710000000000001,1.1985999999999999,-0.07798181818181815,-0.01123952912019828
15,60,60,0.0,0.5,-inf,recent_6m 跑输 ETF -11.34pp 超过容忍带 -5.0pp,9.66,-0.11220000000000001,1.0836,-0.11338181818181803,-0.0061395291201982866,9.66,-0.11220000000000001,1.0836,-0.11338181818181803,-0.0061395291201982866,9.66,-0.11220000000000001,1.0836,-0.11338181818181803,-0.0061395291201982866
15,60,60,0.0,0.7,-inf,recent_6m 跑输 ETF -7.67pp 超过容忍带 -5.0pp,11.09,-0.1084,1.2028,-0.07668181818181807,-0.009939529120198298,11.09,-0.1084,1.2028,-0.07668181818181807,-0.009939529120198298,11.09,-0.1084,1.2028,-0.07668181818181807,-0.009939529120198298
15,60,60,0.01,0.3,-inf,recent_6m 跑输 ETF -13.25pp 超过容忍带 -5.0pp,9.57,-0.1069,1.023,-0.13248181818181815,-0.0114395291201983,9.57,-0.1069,1.023,-0.13248181818181815,-0.0114395291201983,9.57,-0.1069,1.023,-0.13248181818181815,-0.0114395291201983
15,60,60,0.01,0.5,-inf,recent_6m 跑输 ETF -9.88pp 超过容忍带 -5.0pp,10.98,-0.10300000000000001,1.1306,-0.09878181818181808,-0.015339529120198286,10.98,-0.10300000000000001,1.1306,-0.09878181818181808,-0.015339529120198286,10.98,-0.10300000000000001,1.1306,-0.09878181818181808,-0.015339529120198286
15,60,60,0.01,0.7,-inf,recent_6m 跑输 ETF -7.17pp 超过容忍带 -5.0pp,11.58,-0.10529999999999999,1.2194,-0.07168181818181818,-0.013039529120198304,11.58,-0.10529999999999999,1.2194,-0.07168181818181818,-0.013039529120198304,11.58,-0.10529999999999999,1.2194,-0.07168181818181818,-0.013039529120198304
15,60,60,0.02,0.3,-inf,recent_6m 跑输 ETF -11.40pp 超过容忍带 -5.0pp,11.39,-0.095,1.0818,-0.11398181818181818,-0.023339529120198294,11.39,-0.095,1.0818,-0.11398181818181818,-0.023339529120198294,11.39,-0.095,1.0818,-0.11398181818181818,-0.023339529120198294
15,60,60,0.02,0.5,-inf,recent_6m 跑输 ETF -7.99pp 超过容忍带 -5.0pp,13.12,-0.0909,1.1923000000000001,-0.07988181818181816,-0.0274395291201983,13.12,-0.0909,1.1923000000000001,-0.07988181818181816,-0.0274395291201983,13.12,-0.0909,1.1923000000000001,-0.07988181818181816,-0.0274395291201983
15,60,60,0.02,0.7,-inf,recent_6m 跑输 ETF -6.03pp 超过容忍带 -5.0pp,12.81,-0.0981,1.2575,-0.0602818181818181,-0.020239529120198288,12.81,-0.0981,1.2575,-0.0602818181818181,-0.020239529120198288,12.81,-0.0981,1.2575,-0.0602818181818181,-0.020239529120198288
20,30,30,0.0,0.3,-inf,recent_6m 跑输 ETF -16.21pp 超过容忍带 -5.0pp,9.19,-0.1012,0.9307,-0.162081818181818,-0.017139529120198296,9.19,-0.1012,0.9307,-0.162081818181818,-0.017139529120198296,9.19,-0.1012,0.9307,-0.162081818181818,-0.017139529120198296
20,30,30,0.0,0.5,-inf,recent_6m 跑输 ETF -11.82pp 超过容忍带 -5.0pp,10.96,-0.0975,1.0683,-0.11818181818181817,-0.02083952912019829,10.96,-0.0975,1.0683,-0.11818181818181817,-0.02083952912019829,10.96,-0.0975,1.0683,-0.11818181818181817,-0.02083952912019829
20,30,30,0.0,0.7,-inf,recent_6m 跑输 ETF -7.78pp 超过容忍带 -5.0pp,12.04,-0.09960000000000001,1.1994,-0.07778181818181817,-0.018739529120198287,12.04,-0.09960000000000001,1.1994,-0.07778181818181817,-0.018739529120198287,12.04,-0.09960000000000001,1.1994,-0.07778181818181817,-0.018739529120198287
20,30,30,0.01,0.3,-inf,recent_6m 跑输 ETF -16.21pp 超过容忍带 -5.0pp,9.19,-0.1012,0.9307,-0.162081818181818,-0.017139529120198296,9.19,-0.1012,0.9307,-0.162081818181818,-0.017139529120198296,9.19,-0.1012,0.9307,-0.162081818181818,-0.017139529120198296
20,30,30,0.01,0.5,-inf,recent_6m 跑输 ETF -11.82pp 超过容忍带 -5.0pp,10.96,-0.0975,1.0683,-0.11818181818181817,-0.02083952912019829,10.96,-0.0975,1.0683,-0.11818181818181817,-0.02083952912019829,10.96,-0.0975,1.0683,-0.11818181818181817,-0.02083952912019829
20,30,30,0.01,0.7,-inf,recent_6m 跑输 ETF -7.78pp 超过容忍带 -5.0pp,12.04,-0.09960000000000001,1.1994,-0.07778181818181817,-0.018739529120198287,12.04,-0.09960000000000001,1.1994,-0.07778181818181817,-0.018739529120198287,12.04,-0.09960000000000001,1.1994,-0.07778181818181817,-0.018739529120198287
20,30,30,0.02,0.3,-inf,recent_6m 跑输 ETF -16.21pp 超过容忍带 -5.0pp,9.19,-0.1012,0.9307,-0.162081818181818,-0.017139529120198296,9.19,-0.1012,0.9307,-0.162081818181818,-0.017139529120198296,9.19,-0.1012,0.9307,-0.162081818181818,-0.017139529120198296
20,30,30,0.02,0.5,-inf,recent_6m 跑输 ETF -11.82pp 超过容忍带 -5.0pp,10.96,-0.0975,1.0683,-0.11818181818181817,-0.02083952912019829,10.96,-0.0975,1.0683,-0.11818181818181817,-0.02083952912019829,10.96,-0.0975,1.0683,-0.11818181818181817,-0.02083952912019829
20,30,30,0.02,0.7,-inf,recent_6m 跑输 ETF -7.78pp 超过容忍带 -5.0pp,12.04,-0.09960000000000001,1.1994,-0.07778181818181817,-0.018739529120198287,12.04,-0.09960000000000001,1.1994,-0.07778181818181817,-0.018739529120198287,12.04,-0.09960000000000001,1.1994,-0.07778181818181817,-0.018739529120198287
20,30,40,0.0,0.3,-inf,recent_6m 跑输 ETF -14.93pp 超过容忍带 -5.0pp,9.87,-0.0983,0.9703,-0.14928181818181807,-0.020039529120198296,9.87,-0.0983,0.9703,-0.14928181818181807,-0.020039529120198296,9.87,-0.0983,0.9703,-0.14928181818181807,-0.020039529120198296
20,30,40,0.0,0.5,-inf,recent_6m 跑输 ETF -10.65pp 超过容忍带 -5.0pp,11.24,-0.0983,1.1057,-0.10648181818181812,-0.020039529120198296,11.24,-0.0983,1.1057,-0.10648181818181812,-0.020039529120198296,11.24,-0.0983,1.1057,-0.10648181818181812,-0.020039529120198296
20,30,40,0.0,0.7,-inf,recent_6m 跑输 ETF -7.42pp 超过容忍带 -5.0pp,12.33,-0.0983,1.2112,-0.07418181818181813,-0.020039529120198296,12.33,-0.0983,1.2112,-0.07418181818181813,-0.020039529120198296,12.33,-0.0983,1.2112,-0.07418181818181813,-0.020039529120198296
20,30,40,0.01,0.3,-inf,recent_6m 跑输 ETF -15.57pp 超过容忍带 -5.0pp,9.39,-0.1013,0.9506,-0.15568181818181803,-0.017039529120198293,9.39,-0.1013,0.9506,-0.15568181818181803,-0.017039529120198293,9.39,-0.1013,0.9506,-0.15568181818181803,-0.017039529120198293
20,30,40,0.01,0.5,-inf,recent_6m 跑输 ETF -11.12pp 超过容忍带 -5.0pp,11.18,-0.09759999999999999,1.0907,-0.11118181818181805,-0.020739529120198302,11.18,-0.09759999999999999,1.0907,-0.11118181818181805,-0.020739529120198302,11.18,-0.09759999999999999,1.0907,-0.11118181818181805,-0.020739529120198302
20,30,40,0.01,0.7,-inf,recent_6m 跑输 ETF -7.70pp 超过容忍带 -5.0pp,12.07,-0.09960000000000001,1.2019,-0.07698181818181804,-0.018739529120198287,12.07,-0.09960000000000001,1.2019,-0.07698181818181804,-0.018739529120198287,12.07,-0.09960000000000001,1.2019,-0.07698181818181804,-0.018739529120198287
20,30,40,0.02,0.3,-inf,recent_6m 跑输 ETF -15.57pp 超过容忍带 -5.0pp,9.39,-0.1013,0.9506,-0.15568181818181803,-0.017039529120198293,9.39,-0.1013,0.9506,-0.15568181818181803,-0.017039529120198293,9.39,-0.1013,0.9506,-0.15568181818181803,-0.017039529120198293
20,30,40,0.02,0.5,-inf,recent_6m 跑输 ETF -11.12pp 超过容忍带 -5.0pp,11.18,-0.09759999999999999,1.0907,-0.11118181818181805,-0.020739529120198302,11.18,-0.09759999999999999,1.0907,-0.11118181818181805,-0.020739529120198302,11.18,-0.09759999999999999,1.0907,-0.11118181818181805,-0.020739529120198302
20,30,40,0.02,0.7,-inf,recent_6m 跑输 ETF -7.70pp 超过容忍带 -5.0pp,12.07,-0.09960000000000001,1.2019,-0.07698181818181804,-0.018739529120198287,12.07,-0.09960000000000001,1.2019,-0.07698181818181804,-0.018739529120198287,12.07,-0.09960000000000001,1.2019,-0.07698181818181804,-0.018739529120198287
20,30,60,0.0,0.3,-inf,recent_6m 跑输 ETF -14.10pp 超过容忍带 -5.0pp,9.37,-0.1063,0.9962000000000001,-0.1409818181818181,-0.012039529120198289,9.37,-0.1063,0.9962000000000001,-0.1409818181818181,-0.012039529120198289,9.37,-0.1063,0.9962000000000001,-0.1409818181818181,-0.012039529120198289
15,60,60,0.0,0.3,-inf,recent_6m 跑输 ETF -15.29pp 超过容忍带 -5.0pp,7.99,-0.12,0.9592,-0.15288181818181812,0.001660470879801701,7.99,-0.12,0.9592,-0.15288181818181812,0.001660470879801701,7.99,-0.12,0.9592,-0.15288181818181812,0.001660470879801701
15,60,40,0.02,0.7,-inf,recent_6m 跑输 ETF -6.03pp 超过容忍带 -5.0pp,12.81,-0.0981,1.2575,-0.0602818181818181,-0.020239529120198288,12.81,-0.0981,1.2575,-0.0602818181818181,-0.020239529120198288,12.81,-0.0981,1.2575,-0.0602818181818181,-0.020239529120198288
15,60,40,0.02,0.5,-inf,recent_6m 跑输 ETF -7.99pp 超过容忍带 -5.0pp,13.12,-0.0909,1.1923000000000001,-0.07988181818181816,-0.0274395291201983,13.12,-0.0909,1.1923000000000001,-0.07988181818181816,-0.0274395291201983,13.12,-0.0909,1.1923000000000001,-0.07988181818181816,-0.0274395291201983
15,60,30,0.0,0.5,-inf,recent_6m 跑输 ETF -13.41pp 超过容忍带 -5.0pp,8.13,-0.1252,1.0178,-0.13408181818181797,0.006860470879801711,8.13,-0.1252,1.0178,-0.13408181818181797,0.006860470879801711,8.13,-0.1252,1.0178,-0.13408181818181797,0.006860470879801711
15,40,40,0.02,0.5,-inf,recent_6m 跑输 ETF -10.01pp 超过容忍带 -5.0pp,12.48,-0.09029999999999999,1.1264,-0.10008181818181816,-0.028039529120198303,12.48,-0.09029999999999999,1.1264,-0.10008181818181816,-0.028039529120198303,12.48,-0.09029999999999999,1.1264,-0.10008181818181816,-0.028039529120198303
