breakout_window,exit_window,trend_window,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
10,5,30,0.3,-inf,recent_6m 跑输 ETF -6.39pp 超过容忍带 -5.0pp,11.02,-0.0225,0.2483,-0.06390599478714165,-0.026785714285714267,3.24,-0.0355,0.115,-0.07681799824407398,-0.0551757912745938,0.68,-0.1304,0.08869999999999999,-0.17821407035175874,-0.0011359477124182893
20,7,50,0.7,-inf,full_pre_cutoff 跑输 ETF -13.75pp 超过容忍带 -5.0pp,8.64,-0.0398,0.34369999999999995,-0.023205994787141693,-0.009485714285714264,2.33,-0.069,0.161,-0.031417998244073875,-0.021675791274593792,0.82,-0.1305,0.1073,-0.13751407035175878,-0.0010359477124182725
20,10,80,0.5,-inf,full_pre_cutoff 跑输 ETF -22.69pp 超过容忍带 -5.0pp,9.47,-0.0334,0.3165,-0.03460599478714177,-0.015885714285714267,2.85,-0.051500000000000004,0.1467,-0.045517998244073876,-0.039175791274593794,0.52,-0.12789999999999999,0.066,-0.22691407035175892,-0.0036359477124182915
20,10,80,0.3,-inf,recent_6m 跑输 ETF -5.22pp 超过容忍带 -5.0pp,10.17,-0.0271,0.2753,-0.05220599478714183,-0.022185714285714267,2.98,-0.039900000000000005,0.1188,-0.07311799824407395,-0.05077579127459379,0.2,-0.1335,0.0265,-0.30921407035175874,0.00196405228758173
20,10,50,0.7,-inf,full_pre_cutoff 跑输 ETF -13.75pp 超过容忍带 -5.0pp,8.64,-0.0398,0.34369999999999995,-0.023205994787141693,-0.009485714285714264,2.33,-0.069,0.161,-0.031417998244073875,-0.021675791274593792,0.82,-0.1305,0.1073,-0.13751407035175878,-0.0010359477124182725
20,10,50,0.5,-inf,full_pre_cutoff 跑输 ETF -22.47pp 超过容忍带 -5.0pp,9.18,-0.0334,0.30670000000000003,-0.03880599478714175,-0.015885714285714267,2.77,-0.051500000000000004,0.1425,-0.04971799824407386,-0.039175791274593794,0.52,-0.12789999999999999,0.067,-0.22471407035175894,-0.0036359477124182915
20,10,50,0.3,-inf,recent_6m 跑输 ETF -5.74pp 超过容忍带 -5.0pp,9.73,-0.027000000000000003,0.2631,-0.0574059947871417,-0.022285714285714263,2.84,-0.039900000000000005,0.1133,-0.0785179982440738,-0.05077579127459379,0.21,-0.1334,0.0278,-0.3065140703517588,0.0018640522875817134
20,10,30,0.7,-inf,full_pre_cutoff 跑输 ETF -13.61pp 超过容忍带 -5.0pp,9.72,-0.0346,0.3369,-0.02600599478714183,-0.014685714285714267,2.29,-0.069,0.15810000000000002,-0.034317998244074,-0.021675791274593792,0.83,-0.1305,0.1079,-0.13611407035175893,-0.0010359477124182725
20,10,30,0.5,-inf,recent_1y 跑输 ETF -5.44pp 超过容忍带 -5.0pp,10.85,-0.027200000000000002,0.2957,-0.04350599478714168,-0.022085714285714264,2.67,-0.051500000000000004,0.1377,-0.054417998244073784,-0.039175791274593794,0.53,-0.128,0.0683,-0.2220140703517588,-0.0035359477124182748
20,10,30,0.3,-inf,recent_6m 跑输 ETF -6.39pp 超过容忍带 -5.0pp,11.02,-0.0225,0.2483,-0.06390599478714165,-0.026785714285714267,2.68,-0.039900000000000005,0.1069,-0.08491799824407398,-0.05077579127459379,0.24,-0.1334,0.0315,-0.29911407035175874,0.0018640522875817134
20,7,80,0.7,-inf,full_pre_cutoff 跑输 ETF -13.78pp 超过容忍带 -5.0pp,8.83,-0.0398,0.3513,-0.020005994787141823,-0.009485714285714264,2.38,-0.069,0.16399999999999998,-0.028417998244073983,-0.021675791274593792,0.82,-0.1307,0.10710000000000001,-0.13781407035175874,-0.0008359477124182668
20,7,80,0.5,-inf,full_pre_cutoff 跑输 ETF -22.69pp 超过容忍带 -5.0pp,9.47,-0.0334,0.3165,-0.03460599478714177,-0.015885714285714267,2.85,-0.051500000000000004,0.1467,-0.045517998244073876,-0.039175791274593794,0.52,-0.12789999999999999,0.066,-0.22691407035175892,-0.0036359477124182915
