sigmoid_k,max_leverage,base_position,inertia,crisis_vix,fed_block_weight,restrictive_threshold,pivot_relief,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
1.1,1.3,0.45,0.05,38.0,0.25,0.4,0.6,0.3,-inf,recent_1y 跑输 ETF -5.39pp 超过容忍带 -5.0pp,6.54,-0.060899999999999996,0.39840000000000003,-0.036645991561181424,-0.009998041863605825,0.9,-0.1861,0.1675,-0.05389152542372888,-0.061152747252747275,0.74,-0.18600000000000003,0.1374,-2.138680991735538,-0.12525827814569537
1.1,1.3,0.45,0.05,38.0,0.25,0.4,0.6,0.5,-inf,recent_1y 跑输 ETF -5.39pp 超过容忍带 -5.0pp,6.54,-0.060899999999999996,0.39840000000000003,-0.036645991561181424,-0.009998041863605825,0.9,-0.1861,0.1675,-0.05389152542372888,-0.061152747252747275,0.72,-0.18960000000000002,0.1362,-2.181180991735538,-0.12165827814569538
1.2,1.3,0.5,0.05,38.0,0.3,0.5,0.6,0.7,-inf,full_pre_cutoff maxDD=-0.2292 超过绝对阈值 0.2,6.54,-0.0611,0.3996,-0.03624599156118147,-0.00979804186360582,0.94,-0.1968,0.1845,-0.037191525423728944,-0.05045274725274726,0.64,-0.22920000000000001,0.1464,-1.8148809917355377,-0.08205827814569538
1.2,1.3,0.5,0.05,38.0,0.3,0.5,0.8,0.3,-inf,recent_1y 跑输 ETF -5.14pp 超过容忍带 -5.0pp,6.54,-0.0611,0.3996,-0.03624599156118147,-0.00979804186360582,0.92,-0.1858,0.17010000000000003,-0.051391525423728934,-0.06145274725274727,0.73,-0.1858,0.1364,-2.170880991735538,-0.1254582781456954
1.2,1.3,0.5,0.05,38.0,0.3,0.5,0.8,0.5,-inf,recent_1y 跑输 ETF -5.14pp 超过容忍带 -5.0pp,6.54,-0.0611,0.3996,-0.03624599156118147,-0.00979804186360582,0.92,-0.1858,0.17010000000000003,-0.051391525423728934,-0.06145274725274727,0.71,-0.1883,0.1344,-2.241680991735538,-0.1229582781456954
1.2,1.3,0.5,0.05,38.0,0.3,0.5,0.8,0.7,-inf,full_pre_cutoff maxDD=-0.2292 超过绝对阈值 0.2,6.54,-0.0611,0.3996,-0.03624599156118147,-0.00979804186360582,0.94,-0.1968,0.1845,-0.037191525423728944,-0.05045274725274726,0.64,-0.22920000000000001,0.1464,-1.8148809917355377,-0.08205827814569538
1.2,1.3,0.5,0.05,38.0,0.35,0.4,0.6,0.3,-inf,full_pre_cutoff 跑输 ETF -212.33pp 超过容忍带 -5.0pp,6.55,-0.061500000000000006,0.4031,-0.03474599156118141,-0.009398041863605815,0.91,-0.18960000000000002,0.172,-0.04949152542372892,-0.057652747252747244,0.73,-0.18960000000000002,0.1378,-2.123280991735538,-0.12165827814569538
1.2,1.3,0.5,0.05,38.0,0.35,0.4,0.6,0.5,-inf,full_pre_cutoff 跑输 ETF -219.79pp 超过容忍带 -5.0pp,6.55,-0.061500000000000006,0.4031,-0.03474599156118141,-0.009398041863605815,0.91,-0.18960000000000002,0.172,-0.04949152542372892,-0.057652747252747244,0.72,-0.18960000000000002,0.13570000000000002,-2.1978809917355377,-0.12165827814569538
1.2,1.3,0.5,0.05,38.0,0.35,0.4,0.6,0.7,-inf,full_pre_cutoff maxDD=-0.2289 超过绝对阈值 0.2,6.55,-0.061500000000000006,0.4031,-0.03474599156118141,-0.009398041863605815,0.93,-0.1989,0.1841,-0.0375915254237289,-0.04835274725274727,0.64,-0.2289,0.1463,-1.8161809917355383,-0.08235827814569541
1.2,1.3,0.5,0.05,38.0,0.35,0.4,0.8,0.3,-inf,full_pre_cutoff 跑输 ETF -212.34pp 超过容忍带 -5.0pp,6.55,-0.061500000000000006,0.4031,-0.03474599156118141,-0.009398041863605815,0.91,-0.18960000000000002,0.172,-0.04949152542372892,-0.057652747252747244,0.73,-0.18960000000000002,0.1378,-2.1233809917355377,-0.12165827814569538
1.2,1.3,0.5,0.05,38.0,0.35,0.4,0.8,0.5,-inf,full_pre_cutoff 跑输 ETF -219.79pp 超过容忍带 -5.0pp,6.55,-0.061500000000000006,0.4031,-0.03474599156118141,-0.009398041863605815,0.91,-0.18960000000000002,0.172,-0.04949152542372892,-0.057652747252747244,0.72,-0.18960000000000002,0.13570000000000002,-2.1978809917355377,-0.12165827814569538
1.2,1.3,0.5,0.05,38.0,0.35,0.4,0.8,0.7,-inf,full_pre_cutoff maxDD=-0.2289 超过绝对阈值 0.2,6.55,-0.061500000000000006,0.4031,-0.03474599156118141,-0.009398041863605815,0.93,-0.1989,0.1841,-0.0375915254237289,-0.04835274725274727,0.64,-0.2289,0.1463,-1.8161809917355383,-0.08235827814569541
1.2,1.3,0.5,0.05,38.0,0.35,0.5,0.6,0.3,-inf,full_pre_cutoff 跑输 ETF -212.49pp 超过容忍带 -5.0pp,6.55,-0.061500000000000006,0.4031,-0.03474599156118141,-0.009398041863605815,0.91,-0.18960000000000002,0.172,-0.04949152542372892,-0.057652747252747244,0.73,-0.18960000000000002,0.1378,-2.124880991735538,-0.12165827814569538
1.2,1.3,0.5,0.05,38.0,0.35,0.5,0.6,0.5,-inf,full_pre_cutoff 跑输 ETF -219.93pp 超过容忍带 -5.0pp,6.55,-0.061500000000000006,0.4031,-0.03474599156118141,-0.009398041863605815,0.91,-0.18960000000000002,0.172,-0.04949152542372892,-0.057652747252747244,0.72,-0.18960000000000002,0.1356,-2.199280991735538,-0.12165827814569538
1.2,1.3,0.5,0.05,38.0,0.35,0.5,0.6,0.7,-inf,full_pre_cutoff maxDD=-0.2289 超过绝对阈值 0.2,6.55,-0.061500000000000006,0.4031,-0.03474599156118141,-0.009398041863605815,0.93,-0.1989,0.1841,-0.0375915254237289,-0.04835274725274727,0.64,-0.2289,0.1463,-1.8179809917355376,-0.08235827814569541
