fast_window,slow_window,momentum_window,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
15,100,80,0.3,-inf,recent_6m 跑输 ETF -12.81pp 超过容忍带 -5.0pp,2.76,-0.0653,0.18059999999999998,-0.12811991128634803,0.011843408360128621,0.18,-0.12480000000000001,0.022799999999999997,-0.08700757780784851,-0.12454036939313985,0.44,-0.1549,0.0682,-2.769877419354839,-0.14212127659574472
20,125,100,0.7,-inf,recent_6m 跑输 ETF -5.28pp 超过容忍带 -5.0pp,7.16,-0.0496,0.3547,-0.05281991128634811,-0.0038565916398713776,0.42,-0.19190000000000002,0.0806,-0.029907577807848362,-0.057440369393139845,0.41,-0.2596,0.106,-1.6514774193548392,-0.037421276595744735
30,100,100,0.7,-inf,full_pre_cutoff maxDD=-0.2595 超过绝对阈值 0.2,7.65,-0.051699999999999996,0.3953,-0.03601991128634818,-0.00175659163987138,0.44,-0.1985,0.08779999999999999,-0.022807577807848478,-0.05084036939313985,0.41,-0.2595,0.1072,-1.6070774193548392,-0.037521276595744724
30,100,100,0.5,-inf,recent_6m 跑输 ETF -5.79pp 超过容忍带 -5.0pp,6.62,-0.0518,0.3427,-0.05791991128634799,-0.001656591639871377,0.43,-0.1661,0.0719,-0.038507577807848525,-0.08324036939313986,0.35,-0.2475,0.0877,-2.244277419354839,-0.049521276595744734
30,100,100,0.3,-inf,recent_6m 跑输 ETF -8.10pp 超过容忍带 -5.0pp,5.56,-0.0518,0.28800000000000003,-0.08101991128634811,-0.001656591639871377,0.42,-0.13369999999999999,0.0564,-0.053907577807848384,-0.11564036939313987,0.29,-0.23550000000000001,0.0689,-2.752177419354839,-0.06152127659574472
30,100,80,0.7,-inf,full_pre_cutoff maxDD=-0.2595 超过绝对阈值 0.2,8.08,-0.0518,0.4182,-0.026619911286348108,-0.001656591639871377,0.49,-0.1985,0.0967,-0.014007577807848559,-0.05084036939313985,0.42,-0.2595,0.10769999999999999,-1.5887774193548392,-0.037521276595744724
30,100,80,0.5,-inf,full_pre_cutoff maxDD=-0.2475 超过绝对阈值 0.2,7.37,-0.051699999999999996,0.3809,-0.042019911286347966,-0.00175659163987138,0.53,-0.1661,0.08789999999999999,-0.02270757780784849,-0.08324036939313986,0.36,-0.2475,0.0882,-2.231977419354839,-0.049521276595744734
30,100,80,0.3,-inf,recent_6m 跑输 ETF -5.96pp 超过容忍带 -5.0pp,6.54,-0.0518,0.3385,-0.059619911286348026,-0.001656591639871377,0.58,-0.13369999999999999,0.077,-0.03340757780784842,-0.11564036939313987,0.3,-0.23550000000000001,0.0697,-2.732777419354839,-0.06152127659574472
20,150,125,0.7,-inf,recent_6m 跑输 ETF -5.01pp 超过容忍带 -5.0pp,7.29,-0.0495,0.36119999999999997,-0.05011991128634796,-0.0039565916398713735,0.43,-0.19190000000000002,0.0834,-0.027207577807848438,-0.057440369393139845,0.39,-0.2595,0.1017,-1.8006774193548392,-0.037521276595744724
20,150,125,0.5,-inf,recent_6m 跑输 ETF -8.07pp 超过容忍带 -5.0pp,6.13,-0.0471,0.2887,-0.08071991128634814,-0.006356591639871373,0.44,-0.1533,0.0668,-0.04360757780784841,-0.09604036939313987,0.32,-0.24739999999999998,0.0799,-2.468377419354839,-0.04962127659574475
20,150,125,0.3,-inf,recent_6m 跑输 ETF -10.80pp 超过容忍带 -5.0pp,5.07,-0.044500000000000005,0.22579999999999997,-0.10801991128634802,-0.008956591639871371,0.46,-0.1151,0.053200000000000004,-0.057007577807848486,-0.13424036939313988,0.25,-0.23559999999999998,0.06,-2.961777419354839,-0.061421276595744756
20,150,100,0.7,-inf,recent_6m 跑输 ETF -5.42pp 超过容忍带 -5.0pp,7.09,-0.0496,0.3514,-0.05421991128634818,-0.0038565916398713776,0.41,-0.19190000000000002,0.0796,-0.030907577807848474,-0.057440369393139845,0.4,-0.2595,0.10439999999999999,-1.7080774193548391,-0.037521276595744724
20,150,100,0.5,-inf,recent_6m 跑输 ETF -8.58pp 超过容忍带 -5.0pp,5.89,-0.047,0.2768,-0.08581991128634803,-0.006456591639871376,0.41,-0.1533,0.0621,-0.04820757780784857,-0.09604036939313987,0.34,-0.2475,0.085,-2.324577419354839,-0.049521276595744734
20,150,100,0.3,-inf,recent_6m 跑输 ETF -11.33pp 超过容忍带 -5.0pp,4.81,-0.044500000000000005,0.2137,-0.11331991128634811,-0.008956591639871371,0.42,-0.1151,0.0482,-0.06200757780784838,-0.13424036939313988,0.29,-0.23559999999999998,0.0675,-2.788177419354839,-0.061421276595744756
20,150,80,0.7,-inf,recent_6m 跑输 ETF -5.59pp 超过容忍带 -5.0pp,7.01,-0.0496,0.34740000000000004,-0.05591991128634799,-0.0038565916398713776,0.41,-0.19190000000000002,0.0779,-0.03260757780784851,-0.057440369393139845,0.4,-0.2594,0.10460000000000001,-1.7000774193548391,-0.03762127659574471
20,150,80,0.5,-inf,recent_6m 跑输 ETF -8.83pp 超过容忍带 -5.0pp,5.76,-0.047,0.271,-0.08831991128634797,-0.006456591639871376,0.39,-0.1533,0.0596,-0.050607577807848525,-0.09604036939313987,0.34,-0.24739999999999998,0.08470000000000001,-2.333677419354839,-0.04962127659574475
20,150,80,0.3,-inf,recent_6m 跑输 ETF -11.70pp 超过容忍带 -5.0pp,4.63,-0.0444,0.2054,-0.11701991128634814,-0.009056591639871374,0.39,-0.1151,0.0443,-0.0658075778078484,-0.13424036939313988,0.28,-0.2354,0.0649,-2.850277419354839,-0.061621276595744734
20,125,125,0.7,-inf,recent_6m 跑输 ETF -5.26pp 超过容忍带 -5.0pp,7.17,-0.0496,0.35509999999999997,-0.05261991128634813,-0.0038565916398713776,0.42,-0.19190000000000002,0.0808,-0.029707577807848384,-0.057440369393139845,0.39,-0.2594,0.1023,-1.778677419354839,-0.03762127659574471
20,125,125,0.5,-inf,recent_6m 跑输 ETF -8.51pp 超过容忍带 -5.0pp,5.93,-0.047,0.2785,-0.0851199112863481,-0.006456591639871376,0.41,-0.1533,0.0626,-0.04780757780784839,-0.09604036939313987,0.33,-0.24760000000000001,0.08070000000000001,-2.447277419354839,-0.04942127659574472
30,100,125,0.3,-inf,recent_6m 跑输 ETF -8.78pp 超过容忍带 -5.0pp,5.26,-0.0518,0.2723,-0.08781991128634803,-0.001656591639871377,0.39,-0.1322,0.051500000000000004,-0.05870757780784852,-0.11714036939313985,0.27,-0.2354,0.0637,-2.878277419354839,-0.061621276595744734
30,100,125,0.5,-inf,recent_6m 跑输 ETF -6.19pp 超过容忍带 -5.0pp,6.44,-0.051699999999999996,0.33299999999999996,-0.061919911286347995,-0.00175659163987138,0.44,-0.1637,0.0713,-0.03910757780784846,-0.08564036939313985,0.34,-0.24739999999999998,0.0834,-2.369377419354839,-0.04962127659574475
30,100,125,0.7,-inf,full_pre_cutoff maxDD=-0.2595 超过绝对阈值 0.2,7.54,-0.051699999999999996,0.3898,-0.03831991128634815,-0.00175659163987138,0.44,-0.19699999999999998,0.0876,-0.023007577807848456,-0.05234036939313988,0.4,-0.2595,0.10300000000000001,-1.7560774193548392,-0.037521276595744724
30,150,80,0.3,-inf,recent_6m 跑输 ETF -8.32pp 超过容忍带 -5.0pp,5.46,-0.0518,0.28300000000000003,-0.08321991128634809,-0.001656591639871377,0.41,-0.13369999999999999,0.054299999999999994,-0.055907577807848385,-0.11564036939313987,0.29,-0.23559999999999998,0.0678,-2.780577419354839,-0.061421276595744756
30,150,125,0.5,-inf,recent_6m 跑输 ETF -5.75pp 超过容忍带 -5.0pp,6.63,-0.0518,0.3436,-0.057519911286348036,-0.001656591639871377,0.44,-0.1661,0.0724,-0.03810757780784857,-0.08324036939313986,0.35,-0.2475,0.0872,-2.260377419354839,-0.049521276595744734
30,150,125,0.3,-inf,recent_6m 跑输 ETF -8.18pp 超过容忍带 -5.0pp,5.53,-0.0518,0.2863,-0.08181991128634802,-0.001656591639871377,0.42,-0.13369999999999999,0.0555,-0.05470757780784852,-0.11564036939313987,0.29,-0.2389,0.0682,-2.771577419354839,-0.05812127659574473
30,150,100,0.7,-inf,full_pre_cutoff maxDD=-0.2595 超过绝对阈值 0.2,7.61,-0.051699999999999996,0.3932,-0.036919911286348084,-0.00175659163987138,0.44,-0.1985,0.08710000000000001,-0.0235075778078484,-0.05084036939313985,0.41,-0.2595,0.10529999999999999,-1.6771774193548388,-0.037521276595744724
30,150,100,0.5,-inf,recent_6m 跑输 ETF -5.70pp 超过容忍带 -5.0pp,6.66,-0.0518,0.3446,-0.05701991128634809,-0.001656591639871377,0.44,-0.1661,0.0728,-0.0376075778078484,-0.08324036939313986,0.35,-0.24760000000000001,0.0863,-2.285677419354839,-0.04942127659574472
30,150,100,0.3,-inf,recent_6m 跑输 ETF -7.95pp 超过容忍带 -5.0pp,5.64,-0.051699999999999996,0.2916,-0.07951991128634806,-0.00175659163987138,0.43,-0.13369999999999999,0.0579,-0.05240757780784855,-0.11564036939313987,0.3,-0.23559999999999998,0.0696,-2.7358774193548387,-0.061421276595744756
30,150,80,0.7,-inf,full_pre_cutoff maxDD=-0.2595 超过绝对阈值 0.2,7.52,-0.051699999999999996,0.389,-0.03861991128634812,-0.00175659163987138,0.43,-0.1985,0.0855,-0.025107577807848447,-0.05084036939313985,0.41,-0.2595,0.1056,-1.6643774193548388,-0.037521276595744724
30,150,80,0.5,-inf,recent_6m 跑输 ETF -5.96pp 超过容忍带 -5.0pp,6.53,-0.0518,0.3386,-0.059619911286348026,-0.001656591639871377,0.42,-0.1661,0.0704,-0.04000757780784836,-0.08324036939313986,0.35,-0.2475,0.0862,-2.289777419354839,-0.049521276595744734
30,125,125,0.7,-inf,full_pre_cutoff maxDD=-0.2596 超过绝对阈值 0.2,7.49,-0.051699999999999996,0.3873,-0.03931991128634804,-0.00175659163987138,0.43,-0.1985,0.08470000000000001,-0.02590757780784836,-0.05084036939313985,0.4,-0.2596,0.1027,-1.7659774193548388,-0.037421276595744735
30,125,80,0.3,-inf,recent_6m 跑输 ETF -8.10pp 超过容忍带 -5.0pp,5.56,-0.0518,0.28800000000000003,-0.08101991128634811,-0.001656591639871377,0.42,-0.13369999999999999,0.0564,-0.053907577807848384,-0.11564036939313987,0.29,-0.2354,0.0684,-2.764877419354839,-0.061621276595744734
30,125,125,0.5,-inf,recent_6m 跑输 ETF -6.29pp 超过容忍带 -5.0pp,6.4,-0.051699999999999996,0.3308,-0.0629199112863481,-0.00175659163987138,0.41,-0.1661,0.0675,-0.042907577807848485,-0.08324036939313986,0.33,-0.24760000000000001,0.0821,-2.408077419354839,-0.04942127659574472
30,125,125,0.3,-inf,recent_6m 跑输 ETF -8.69pp 超过容忍带 -5.0pp,5.3,-0.051699999999999996,0.2743,-0.08691991128634813,-0.00175659163987138,0.38,-0.13369999999999999,0.0506,-0.05960757780784842,-0.11564036939313987,0.26,-0.23989999999999997,0.0617,-2.923877419354839,-0.05712127659574476
30,125,100,0.7,-inf,full_pre_cutoff maxDD=-0.2594 超过绝对阈值 0.2,7.67,-0.051699999999999996,0.39649999999999996,-0.035519911286348016,-0.00175659163987138,0.44,-0.1985,0.0882,-0.022407577807848522,-0.05084036939313985,0.41,-0.2594,0.10529999999999999,-1.677277419354839,-0.03762127659574471
30,125,100,0.5,-inf,recent_6m 跑输 ETF -5.87pp 超过容忍带 -5.0pp,6.58,-0.0518,0.3407,-0.058719911286348125,-0.001656591639871377,0.43,-0.1661,0.071,-0.039407577807848426,-0.08324036939313986,0.35,-0.2475,0.0858,-2.3021774193548388,-0.049521276595744734
