breakout_window,exit_window,trend_window,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
20,3,30,0.7,-0.3078550440744676,,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355
15,3,40,0.7,-0.3078550440744676,,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355
8,3,30,0.7,-0.3078550440744676,,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355
15,3,30,0.7,-0.3078550440744676,,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355
8,3,40,0.7,-0.3078550440744676,,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355
20,3,40,0.7,-0.3078550440744676,,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355
10,3,40,0.7,-0.3078550440744676,,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355
10,3,30,0.7,-0.3078550440744676,,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355,7.61,-0.1391,1.0594,-0.003078550440744676,-0.02494647983595355
15,3,60,0.7,-0.367855044074461,,7.59,-0.1392,1.0563,-0.00367855044074461,-0.02484647983595356,7.59,-0.1392,1.0563,-0.00367855044074461,-0.02484647983595356,7.59,-0.1392,1.0563,-0.00367855044074461,-0.02484647983595356
10,3,60,0.7,-0.367855044074461,,7.59,-0.1392,1.0563,-0.00367855044074461,-0.02484647983595356,7.59,-0.1392,1.0563,-0.00367855044074461,-0.02484647983595356,7.59,-0.1392,1.0563,-0.00367855044074461,-0.02484647983595356
8,3,60,0.7,-0.367855044074461,,7.59,-0.1392,1.0563,-0.00367855044074461,-0.02484647983595356,7.59,-0.1392,1.0563,-0.00367855044074461,-0.02484647983595356,7.59,-0.1392,1.0563,-0.00367855044074461,-0.02484647983595356
20,3,60,0.7,-0.367855044074461,,7.59,-0.1392,1.0563,-0.00367855044074461,-0.02484647983595356,7.59,-0.1392,1.0563,-0.00367855044074461,-0.02484647983595356,7.59,-0.1392,1.0563,-0.00367855044074461,-0.02484647983595356
20,3,60,0.5,-0.9678550440744615,,8.35,-0.1226,1.0232999999999999,-0.009678550440744615,-0.04144647983595355,8.35,-0.1226,1.0232999999999999,-0.009678550440744615,-0.04144647983595355,8.35,-0.1226,1.0232999999999999,-0.009678550440744615,-0.04144647983595355
10,3,60,0.5,-0.9678550440744615,,8.35,-0.1226,1.0232999999999999,-0.009678550440744615,-0.04144647983595355,8.35,-0.1226,1.0232999999999999,-0.009678550440744615,-0.04144647983595355,8.35,-0.1226,1.0232999999999999,-0.009678550440744615,-0.04144647983595355
15,3,60,0.5,-0.9678550440744615,,8.35,-0.1226,1.0232999999999999,-0.009678550440744615,-0.04144647983595355,8.35,-0.1226,1.0232999999999999,-0.009678550440744615,-0.04144647983595355,8.35,-0.1226,1.0232999999999999,-0.009678550440744615,-0.04144647983595355
8,3,60,0.5,-0.9678550440744615,,8.35,-0.1226,1.0232999999999999,-0.009678550440744615,-0.04144647983595355,8.35,-0.1226,1.0232999999999999,-0.009678550440744615,-0.04144647983595355,8.35,-0.1226,1.0232999999999999,-0.009678550440744615,-0.04144647983595355
20,3,40,0.5,-1.7378550440744656,,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355
15,3,40,0.5,-1.7378550440744656,,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355
