year,s_ret,b_ret,s_Sh,b_Sh,s_DD,b_DD
2010,0.08168184458416272,0.19219914960409867,0.311664258035906,0.7736207012401218,-0.1349595543626868,-0.15909367352201353
2011,4.631518171827054e-05,0.027039578692973354,-0.15251040303233515,0.056722185167812446,-0.12976836730213748,-0.1610537147561229
2012,0.1228118576301862,0.1681863879218375,0.5388732022843763,0.8025975362603472,-0.13043321245568465,-0.11859861803123564
2013,0.35449080980309766,0.34990398093899455,1.8977639011337402,2.117683125608914,-0.073872737515156,-0.05967724895673762
2014,0.14695539054595708,0.17936525612471987,0.6699596512933693,0.9326286862396634,-0.08666190488270989,-0.0823283972040517
2015,-0.04240882450465644,0.0842696894445123,-0.3521247875031298,0.30475866886018577,-0.17718011924237556,-0.141753282275711
2016,0.006329012500329911,0.05885785072508298,-0.14157835731395568,0.17524949798772985,-0.11926120155764752,-0.14052515963572731
2017,0.37352185340646815,0.31515620052553395,2.207829054572209,2.28450117013472,-0.062133559294845764,-0.0489932543795561
2018,0.07974289064522422,-0.01039018701085681,0.2721842297490392,-0.11350074932106188,-0.1319191015997927,-0.22986796654908848
2019,0.23523255508495988,0.3796406296406287,1.178298708269347,1.7671927756758234,-0.13298826505233405,-0.11059646457372402
2020,0.296275953320148,0.4758017512741799,1.1888541133840513,1.1159122973306308,-0.16917820287314655,-0.2803288083936894
2021,0.1979299672124546,0.2662729239277879,0.9343587367713406,1.1223531124012451,-0.09167134832380293,-0.1092593263179237
2022,-0.17753462643965268,-0.3296748545350271,-2.2810272274951218,-1.1796799367609099,-0.1895113876882094,-0.35283669569991605
2023,0.2499562925870482,0.5380529371759524,1.5997294631394485,2.2131384864884764,-0.056471293275725885,-0.10932022838962543
2024,0.2833003554991971,0.2487969461420556,1.1568336548004532,1.0615909896724154,-0.1358141905977061,-0.13581419059770602
2025,0.20358002856437096,0.20167740885401164,0.7802670187888682,0.7073418761380212,-0.19587692515299654,-0.2293151030862746
2026,0.05962396487187638,0.16267106537266507,0.784566742281909,1.9551357708163037,-0.09812857544698396,-0.1179508423193673
